date,open,high,low,close,volume,hold,settle
2023-06-19,5636.0,5662.0,5594.0,5638.0,536066,359421,5629.0
2023-06-20,5632.0,5645.0,5603.0,5626.0,329743,344797,5626.0
2023-06-21,5577.0,5581.0,5479.0,5483.0,667209,338551,5512.0
2023-06-26,5400.0,5465.0,5398.0,5427.0,236849,338789,5437.0
2023-06-27,5441.0,5489.0,5420.0,5474.0,370355,323188,5457.0
2023-06-28,5475.0,5498.0,5433.0,5446.0,409161,284280,5460.0
2023-06-29,5431.0,5476.0,5423.0,5450.0,388479,263606,5452.0
2023-06-30,5404.0,5470.0,5395.0,5439.0,489271,255987,5432.0
2023-07-03,5428.0,5525.0,5427.0,5501.0,468770,247409,5477.0
2023-07-04,5522.0,5530.0,5495.0,5510.0,293214,235905,5513.0
2023-07-05,5513.0,5531.0,5481.0,5489.0,238500,225255,5508.0
2023-07-06,5504.0,5574.0,5499.0,5565.0,459304,216765,5551.0
2023-07-07,5480.0,5510.0,5458.0,5464.0,443657,205486,5480.0
2023-07-10,5484.0,5549.0,5478.0,5531.0,332061,194968,5519.0
2023-07-11,5499.0,5585.0,5485.0,5580.0,321680,185221,5540.0
2023-07-12,5544.0,5565.0,5529.0,5554.0,225083,173345,5549.0
2023-07-13,5616.0,5744.0,5604.0,5727.0,488116,184504,5684.0
2023-07-14,5750.0,5820.0,5742.0,5773.0,416105,176264,5779.0
2023-07-17,5826.0,5842.0,5792.0,5818.0,652714,409374,5816.0
2023-07-18,5804.0,5865.0,5785.0,5839.0,566045,418884,5820.0
2023-07-19,5833.0,5946.0,5826.0,5924.0,1030207,443647,5902.0
2023-07-20,5950.0,5983.0,5917.0,5932.0,722886,439505,5950.0
2023-07-21,5917.0,5923.0,5835.0,5864.0,828744,406895,5875.0
2023-07-24,5849.0,5868.0,5827.0,5848.0,670759,401804,5847.0
2023-07-25,5834.0,5845.0,5792.0,5823.0,758352,393346,5816.0
2023-07-26,5829.0,5864.0,5814.0,5862.0,639871,397530,5840.0
2023-07-27,5845.0,5928.0,5822.0,5891.0,898317,402902,5877.0
2023-07-28,5864.0,5873.0,5733.0,5744.0,1066404,388284,5771.0
2023-07-31,5767.0,5782.0,5738.0,5745.0,636692,377021,5761.0
2023-08-01,5797.0,5850.0,5782.0,5817.0,586744,387832,5825.0
2023-08-02,5754.0,5805.0,5750.0,5774.0,589704,383729,5773.0
2023-08-03,5766.0,5768.0,5628.0,5632.0,788577,395883,5694.0
2023-08-04,5619.0,5668.0,5606.0,5616.0,584522,404429,5642.0
2023-08-07,5650.0,5693.0,5637.0,5649.0,521345,395832,5667.0
2023-08-08,5651.0,5672.0,5594.0,5614.0,462609,406353,5622.0
2023-08-09,5550.0,5589.0,5542.0,5582.0,460570,415971,5569.0
2023-08-10,5547.0,5600.0,5538.0,5554.0,480464,429689,5564.0
2023-08-11,5570.0,5627.0,5569.0,5606.0,613179,431464,5597.0
2023-08-14,5586.0,5635.0,5569.0,5596.0,486765,430367,5606.0
2023-08-15,5608.0,5628.0,5567.0,5620.0,485816,433930,5600.0
2023-08-16,5609.0,5646.0,5601.0,5638.0,534761,433951,5627.0
2023-08-17,5638.0,5656.0,5591.0,5629.0,466009,430628,5628.0
2023-08-18,5655.0,5689.0,5592.0,5599.0,619329,424849,5645.0
2023-08-21,5601.0,5637.0,5583.0,5622.0,474846,415398,5607.0
2023-08-22,5679.0,5691.0,5626.0,5687.0,541039,393706,5663.0
2023-08-23,5691.0,5788.0,5674.0,5779.0,567159,384645,5721.0
2023-08-24,5809.0,5892.0,5797.0,5842.0,666599,363297,5853.0
2023-08-25,5842.0,5864.0,5806.0,5823.0,455503,326532,5838.0
2023-08-28,5843.0,5873.0,5799.0,5839.0,555339,269653,0.0
2023-08-29,5839.0,5881.0,5821.0,5856.0,387966,247583,5853.0
2023-08-30,5863.0,5944.0,5850.0,5927.0,510403,219930,5914.0
2023-08-31,5984.0,6008.0,5902.0,5912.0,469775,204606,5951.0
2023-09-01,5910.0,5942.0,5890.0,5932.0,310585,187735,5914.0
