date,open,high,low,close,volume,hold,settle
2023-06-19,451.54,451.88,449.66,451.24,133047,176077,450.84
2023-06-20,451.18,451.98,450.48,451.76,81947,173751,451.22
2023-06-21,450.98,450.98,448.02,449.84,144352,161934,449.34
2023-06-26,448.3,449.54,448.28,449.14,53739,158358,448.88
2023-06-27,451.16,451.3,448.1,448.86,120377,153334,449.74
2023-06-28,448.4,449.32,446.04,447.1,176469,116750,447.44
2023-06-29,447.16,448.44,446.8,447.5,124723,109632,447.58
2023-06-30,446.04,448.98,445.84,448.6,138212,99794,447.9
2023-07-03,449.7,451.18,449.1,449.52,119284,93437,450.0
2023-07-04,450.34,451.58,449.44,449.94,88873,90508,450.58
2023-07-05,450.36,451.0,449.6,450.7,49959,85789,450.3
2023-07-06,453.26,453.84,450.94,451.66,148454,171663,452.16
2023-07-07,448.8,450.98,448.7,450.82,193374,176654,449.9
2023-07-10,451.66,452.98,451.04,452.08,175905,183553,451.92
2023-07-11,450.28,452.78,450.2,452.2,187560,184855,451.66
2023-07-12,451.98,452.96,451.78,452.12,167710,191378,452.32
2023-07-13,453.28,456.58,452.4,456.32,241639,210245,454.86
2023-07-14,455.6,456.36,453.34,454.0,218384,209338,455.02
2023-07-17,454.44,456.14,453.5,455.34,204570,209437,454.7
2023-07-18,454.48,457.0,454.24,456.94,170294,215469,455.48
2023-07-19,458.3,463.18,457.78,462.48,258530,227159,460.48
2023-07-20,462.98,463.68,461.12,461.96,194080,231248,462.64
2023-07-21,459.94,461.0,458.96,459.3,200703,229079,459.72
2023-07-24,458.78,459.28,457.58,459.1,196798,225606,458.44
2023-07-25,459.9,459.96,456.66,456.8,216923,222844,458.2
2023-07-26,455.9,458.8,455.24,458.68,182891,221741,456.88
2023-07-27,459.2,460.36,457.52,459.76,194289,223323,458.8
2023-07-28,457.5,458.0,455.22,456.3,286816,215865,456.24
2023-07-31,457.3,457.5,455.5,455.98,186640,211841,456.54
2023-08-01,458.2,458.62,457.3,457.58,152556,209774,457.88
2023-08-02,455.84,457.44,455.22,457.18,164606,209074,456.2
2023-08-03,456.5,456.86,454.96,455.04,161216,207551,455.62
2023-08-04,453.76,455.36,453.62,454.4,160961,204252,454.52
2023-08-07,455.4,456.82,454.88,455.64,171277,200039,455.74
2023-08-08,455.58,456.14,454.44,455.64,110788,199723,455.5
2023-08-09,454.96,456.22,454.66,455.36,147298,198669,455.38
2023-08-10,454.7,455.44,453.08,453.62,156507,201894,454.12
2023-08-11,454.58,455.82,453.76,455.56,169611,201635,454.56
2023-08-14,455.88,456.28,455.04,455.74,116013,200427,455.66
2023-08-15,455.82,456.0,454.68,455.86,124451,199820,455.46
2023-08-16,456.02,457.34,455.9,457.1,138953,203581,456.66
2023-08-17,457.0,457.58,455.52,456.86,120772,200472,456.78
2023-08-18,456.6,457.0,454.8,455.1,135692,194838,455.82
2023-08-21,455.12,457.48,454.5,457.08,127984,194884,455.88
2023-08-22,456.98,456.98,455.4,456.5,112821,188078,456.14
2023-08-23,456.66,458.26,455.86,457.88,121657,189995,457.0
2023-08-24,458.26,460.62,457.94,460.04,130300,188719,459.4
2023-08-25,459.12,459.9,458.44,458.5,120951,163763,459.18
2023-08-28,459.06,459.48,457.4,458.62,135078,143683,458.44
2023-08-29,459.02,460.72,458.3,460.14,88464,132728,459.5
2023-08-30,459.5,462.02,459.48,461.48,143858,88395,460.62
2023-08-31,462.6,463.24,461.66,463.16,86609,79699,462.48
2023-09-01,461.82,462.86,461.1,462.46,88305,69172,461.84
2023-09-04,463.68,465.48,461.48,464.38,88769,65184,463.26
2023-09-05,463.96,465.46,463.12,464.98,66963,190823,464.34
2023-09-06,464.8,465.06,463.6,464.24,83041,191966,464.22
2023-09-07,463.98,464.72,463.38,464.12,92595,197251,464.08
2023-09-08,465.0,467.58,463.96,466.84,106633,205721,465.74
2023-09-11,466.22,467.94,465.88,466.54,117227,205222,466.86
2023-09-12,466.82,467.24,465.94,466.76,83461,205592,466.62
2023-09-13,465.52,468.74,465.5,467.66,108723,206913,466.94
2023-09-14,468.02,472.98,466.86,472.0,162409,216794,469.86
2023-09-15,471.9,480.26,466.96,469.72,301876,210228,473.86
2023-09-18,470.2,473.12,465.88,467.32,208045,202374,469.56
2023-09-19,467.32,470.36,466.48,469.8,98489,202205,468.28
2023-09-20,470.24,472.76,469.54,471.38,101713,203158,471.16
2023-09-21,471.5,473.0,470.16,470.88,107786,202379,471.68
2023-09-22,469.22,472.02,468.02,470.48,142986,204284,470.12
2023-09-25,470.88,471.78,469.62,471.48,75993,204002,470.76
2023-09-26,472.0,472.2,470.3,470.6,95477,204379,471.08
2023-09-27,470.2,470.7,465.16,466.9,150432,195417,468.3
2023-09-28,465.04,465.74,455.0,459.5,217875,195595,460.92
2023-10-09,454.0,456.0,451.74,454.8,93951,188401,454.48
2023-10-10,453.04,454.4,450.06,450.58,152411,185579,451.86
2023-10-11,450.7,451.44,449.32,450.4,104754,178091,450.36
2023-10-12,451.92,454.04,450.94,453.66,98888,173726,452.3
2023-10-13,453.64,455.28,452.5,454.92,84829,167366,453.76
