date,open,high,low,close,volume,hold,settle
2023-06-19,16880.0,16895.0,16375.0,16475.0,711857,577443,16650.0
2023-06-20,16495.0,16735.0,16420.0,16700.0,436817,569392,16615.0
2023-06-21,16675.0,16690.0,16320.0,16350.0,483973,528534,16495.0
2023-06-26,16220.0,16465.0,16200.0,16265.0,283623,521733,16310.0
2023-06-27,16245.0,16400.0,16120.0,16315.0,398386,513652,16245.0
2023-06-28,16255.0,16365.0,16210.0,16330.0,265186,504550,16295.0
2023-06-29,16290.0,16390.0,16230.0,16280.0,231180,492572,16310.0
2023-06-30,16300.0,16785.0,16240.0,16660.0,560230,486972,16575.0
2023-07-03,16655.0,16860.0,16645.0,16785.0,285415,477913,16760.0
2023-07-04,16800.0,16865.0,16425.0,16505.0,367859,465623,16635.0
2023-07-05,16550.0,16630.0,16480.0,16555.0,209337,462418,16555.0
2023-07-06,16585.0,16615.0,16465.0,16575.0,211306,458859,16555.0
2023-07-07,16540.0,16790.0,16520.0,16680.0,336399,454505,16685.0
2023-07-10,16700.0,16730.0,16605.0,16665.0,210760,454263,16670.0
2023-07-11,16610.0,17105.0,16555.0,17100.0,455376,485037,16790.0
2023-07-12,17065.0,17285.0,17020.0,17240.0,600757,490213,17155.0
2023-07-13,17215.0,17295.0,17105.0,17225.0,288511,480101,17210.0
2023-07-14,17150.0,17330.0,17075.0,17125.0,311801,471721,17185.0
2023-07-17,17170.0,17225.0,16830.0,16905.0,438548,448724,16975.0
2023-07-18,16950.0,17285.0,16910.0,17180.0,342548,443056,17135.0
2023-07-19,16995.0,17190.0,16830.0,17160.0,521249,428041,16985.0
2023-07-20,17195.0,17300.0,17105.0,17145.0,311723,415172,17175.0
2023-07-21,17220.0,17440.0,17150.0,17300.0,513534,471626,17320.0
2023-07-24,17100.0,17200.0,16930.0,17055.0,643049,471225,17085.0
2023-07-25,17150.0,17230.0,17025.0,17160.0,443411,482371,17110.0
2023-07-26,17175.0,17325.0,17135.0,17220.0,514564,493886,17220.0
2023-07-27,17240.0,17410.0,17200.0,17265.0,464745,508069,17285.0
2023-07-28,17210.0,17310.0,17155.0,17240.0,460355,515405,17220.0
2023-07-31,17265.0,17510.0,17200.0,17440.0,622199,555871,17345.0
2023-08-01,17425.0,17530.0,17390.0,17465.0,409101,569701,17455.0
2023-08-02,17450.0,17525.0,17330.0,17465.0,458358,578696,17445.0
2023-08-03,17440.0,17480.0,17160.0,17175.0,644386,558630,17305.0
2023-08-04,17190.0,17225.0,16980.0,17140.0,531527,550243,17120.0
2023-08-07,17135.0,17415.0,17075.0,17360.0,550639,564602,17275.0
2023-08-08,17350.0,17410.0,17100.0,17110.0,448921,563829,17300.0
2023-08-09,17065.0,17290.0,17030.0,17150.0,527869,569746,17160.0
2023-08-10,17155.0,17255.0,17100.0,17160.0,401603,569383,17170.0
2023-08-11,17215.0,17305.0,17135.0,17230.0,490828,557813,17210.0
2023-08-14,17230.0,17380.0,17060.0,17115.0,675484,553748,17190.0
2023-08-15,17130.0,17220.0,17090.0,17165.0,331928,547990,17150.0
2023-08-16,17165.0,17175.0,16820.0,16870.0,605005,585070,17010.0
2023-08-17,16885.0,16950.0,16585.0,16650.0,638419,585215,16785.0
2023-08-18,16705.0,16980.0,16625.0,16955.0,672666,563092,16800.0
2023-08-21,16905.0,17035.0,16805.0,16945.0,475277,550021,16920.0
2023-08-22,16980.0,16985.0,16825.0,16935.0,331891,548073,16910.0
2023-08-23,16925.0,17120.0,16905.0,17055.0,403319,544662,17010.0
2023-08-24,17050.0,17300.0,17005.0,17230.0,417996,557063,17185.0
2023-08-25,17200.0,17435.0,17165.0,17420.0,399623,582191,17295.0
2023-08-28,17450.0,17775.0,17410.0,17545.0,734973,619545,17590.0
2023-08-29,17500.0,17575.0,17380.0,17460.0,385653,615997,17490.0
2023-08-30,17500.0,17630.0,17485.0,17610.0,333217,626479,17575.0
2023-08-31,17590.0,17700.0,17530.0,17660.0,353916,642207,17620.0
2023-09-01,17700.0,17905.0,17670.0,17790.0,500643,667266,17785.0
2023-09-04,17890.0,17900.0,17345.0,17420.0,700663,637956,17635.0
2023-09-05,17405.0,17585.0,17385.0,17530.0,345110,633806,17500.0
2023-09-06,17545.0,17785.0,17520.0,17650.0,397314,643375,17685.0
2023-09-07,17665.0,17735.0,17045.0,17220.0,714516,608560,17355.0
2023-09-08,17190.0,17225.0,16925.0,16955.0,451727,596950,17100.0
2023-09-11,16970.0,17220.0,16970.0,17185.0,291905,589597,17130.0
2023-09-12,17185.0,17405.0,17180.0,17350.0,308088,591945,17315.0
2023-09-13,17360.0,17375.0,16910.0,17030.0,556952,588013,17120.0
2023-09-14,17060.0,17230.0,17025.0,17125.0,315234,583811,17120.0
2023-09-15,17175.0,17290.0,17095.0,17285.0,295895,580165,17200.0
2023-09-18,17220.0,17250.0,17035.0,17195.0,319536,578531,17155.0
2023-09-19,17195.0,17480.0,17120.0,17370.0,522984,596157,17330.0
2023-09-20,17375.0,17400.0,17135.0,17165.0,324402,586715,17255.0
2023-09-21,17180.0,17300.0,17090.0,17110.0,318478,589462,17200.0
2023-09-22,17090.0,17340.0,17025.0,17145.0,417411,576804,17175.0
2023-09-25,17195.0,17275.0,17100.0,17205.0,311505,570834,17180.0
2023-09-26,17225.0,17385.0,17145.0,17215.0,404340,571226,17260.0
2023-09-27,17210.0,17525.0,17210.0,17430.0,359578,591076,17340.0
2023-09-28,17410.0,17675.0,17390.0,17675.0,344042,599491,17520.0
2023-10-09,17650.0,17815.0,17535.0,17600.0,305088,620077,17665.0
2023-10-10,17645.0,17650.0,17110.0,17120.0,476276,599245,17360.0
2023-10-11,17100.0,17195.0,16820.0,16955.0,487780,594750,17045.0
2023-10-12,16900.0,16980.0,16770.0,16970.0,346164,593341,16880.0
2023-10-13,17000.0,17090.0,16825.0,17040.0,356796,595813,16945.0
2023-10-16,17085.0,17165.0,16955.0,16990.0,336191,607885,17055.0
2023-10-17,16990.0,16990.0,16630.0,16695.0,506113,632924,16795.0
2023-10-18,16660.0,16720.0,16360.0,16485.0,549964,624507,16525.0
2023-10-19,16400.0,16580.0,16340.0,16445.0,332276,622697,16470.0
2023-10-20,16360.0,16470.0,16075.0,16105.0,469162,613869,16305.0
2023-10-23,16030.0,16095.0,15785.0,15910.0,503122,616991,15925.0
2023-10-24,16000.0,16170.0,15935.0,16105.0,463511,604949,16035.0
2023-10-25,16115.0,16280.0,16065.0,16145.0,331399,604375,16175.0
2023-10-26,16195.0,16210.0,15995.0,16150.0,308759,604521,16095.0
2023-10-27,16165.0,16330.0,16045.0,16115.0,412888,623912,16175.0
2023-10-30,16150.0,16155.0,16020.0,16125.0,290975,626725,16095.0
2023-10-31,16140.0,16170.0,15585.0,15785.0,621271,655447,15800.0
2023-11-01,15790.0,15830.0,15475.0,15530.0,479685,676849,15635.0
2023-11-02,15555.0,15730.0,15505.0,15720.0,422713,671283,15640.0
2023-11-03,15785.0,15925.0,15685.0,15860.0,375993,657869,15810.0
2023-11-06,15810.0,15875.0,15575.0,15850.0,399754,654309,15770.0
2023-11-07,15800.0,15880.0,15685.0,15750.0,335732,649649,15790.0
2023-11-08,15700.0,15850.0,15615.0,15835.0,351498,643963,15735.0
2023-11-09,15745.0,15890.0,15665.0,15790.0,337848,638254,15770.0
2023-11-10,15810.0,15910.0,15680.0,15710.0,396266,639043,15780.0
2023-11-13,15680.0,15775.0,15485.0,15635.0,475405,629433,15625.0
2023-11-14,15635.0,15950.0,15630.0,15840.0,393905,614095,15775.0
2023-11-15,15875.0,15895.0,15640.0,15690.0,337243,611785,15790.0
2023-11-16,15720.0,15770.0,15615.0,15730.0,256193,599450,15695.0
2023-11-17,15725.0,15805.0,15565.0,15685.0,326531,585833,15695.0
2023-11-20,15695.0,15720.0,15560.0,15565.0,228600,594779,15625.0
2023-11-21,15555.0,15600.0,15130.0,15160.0,570845,608033,15320.0
2023-11-22,15200.0,15575.0,15145.0,15375.0,509558,571430,15380.0
2023-11-23,15350.0,15450.0,15275.0,15325.0,283000,554637,15360.0
2023-11-24,15305.0,15335.0,15070.0,15205.0,358635,548418,15175.0
2023-11-27,15205.0,15245.0,15035.0,15055.0,236113,529954,15135.0
2023-11-28,15015.0,15175.0,14840.0,15055.0,348505,490144,14950.0
2023-11-29,15090.0,15185.0,15015.0,15145.0,214074,467024,15090.0
2023-11-30,15200.0,15315.0,15150.0,15265.0,183036,443426,15215.0
2023-12-01,14915.0,15070.0,14740.0,14930.0,381601,498845,14930.0
2023-12-04,14905.0,14995.0,14785.0,14870.0,293580,516896,14905.0
2023-12-05,14880.0,14995.0,14825.0,14945.0,327082,526701,14925.0
2023-12-06,14920.0,15185.0,14870.0,15145.0,407345,538337,15020.0
2023-12-07,15130.0,15220.0,14965.0,15205.0,344905,534645,15100.0
2023-12-08,15190.0,15430.0,15170.0,15380.0,391037,545797,15320.0
2023-12-11,15350.0,15450.0,15235.0,15405.0,350169,552388,15350.0
2023-12-12,15370.0,15415.0,15305.0,15360.0,245921,558979,15365.0
2023-12-13,15310.0,15330.0,15195.0,15285.0,364461,565996,15275.0
2023-12-14,15285.0,15430.0,15285.0,15355.0,314269,577083,15355.0
2023-12-15,15380.0,15415.0,15260.0,15350.0,315731,582606,15335.0
2023-12-18,15360.0,15365.0,15125.0,15190.0,352093,583782,15240.0
2023-12-19,15190.0,15295.0,15135.0,15185.0,314712,594540,15220.0
2023-12-20,15145.0,15285.0,15050.0,15240.0,399343,603637,15145.0
2023-12-21,15270.0,15300.0,15170.0,15260.0,240007,603282,15235.0
2023-12-22,15230.0,15480.0,15125.0,15425.0,515957,630515,15310.0
2023-12-25,15390.0,15520.0,15345.0,15405.0,371597,647820,15430.0
2023-12-26,15430.0,15480.0,15375.0,15435.0,229033,647482,15425.0
2023-12-27,15455.0,15530.0,15385.0,15520.0,277514,672092,15450.0
2023-12-28,15520.0,15585.0,15475.0,15530.0,314880,681590,15535.0
2023-12-29,15550.0,15635.0,15435.0,15455.0,340681,675665,15550.0
2024-01-02,15510.0,15630.0,15480.0,15600.0,188206,672453,15555.0
2024-01-03,15615.0,15670.0,15520.0,15645.0,273981,661036,15595.0
2024-01-04,15645.0,15725.0,15600.0,15670.0,274292,661258,15665.0
2024-01-05,15700.0,15735.0,15540.0,15615.0,245409,648974,15630.0
2024-01-08,15615.0,15710.0,15480.0,15500.0,335132,633875,15575.0
2024-01-09,15480.0,15565.0,15315.0,15500.0,462891,604735,15430.0
2024-01-10,15500.0,15605.0,15455.0,15485.0,280471,587784,15530.0
2024-01-11,15495.0,15630.0,15390.0,15580.0,313686,587130,15500.0
2024-01-12,15590.0,15645.0,15505.0,15520.0,264615,586210,15585.0
