date,open,high,low,close,volume,hold,settle
2023-06-19,3080.0,3102.0,3010.0,3044.0,578275,349499,3043.0
2023-06-20,3071.0,3112.0,3053.0,3067.0,484656,356532,3080.0
2023-06-21,3056.0,3112.0,3036.0,3097.0,619889,359485,3077.0
2023-06-26,3090.0,3120.0,3054.0,3114.0,473514,367951,3087.0
2023-06-27,3090.0,3096.0,3020.0,3064.0,731270,346660,3062.0
2023-06-28,3022.0,3036.0,2969.0,3015.0,691267,304422,3004.0
2023-06-29,2990.0,3105.0,2990.0,3096.0,663306,341223,3060.0
2023-06-30,3101.0,3102.0,3071.0,3086.0,479962,289559,3085.0
2023-07-03,3109.0,3144.0,3094.0,3105.0,504886,301389,3124.0
2023-07-04,3145.0,3145.0,3080.0,3112.0,467423,290752,3115.0
2023-07-05,3148.0,3168.0,3131.0,3149.0,433078,334563,3148.0
2023-07-06,3166.0,3175.0,3146.0,3160.0,408516,337345,3162.0
2023-07-07,3148.0,3190.0,3110.0,3172.0,560564,346007,3151.0
2023-07-10,3168.0,3239.0,3152.0,3206.0,542435,361786,3199.0
2023-07-11,3198.0,3244.0,3193.0,3227.0,382505,356898,3225.0
2023-07-12,3232.0,3277.0,3220.0,3222.0,427045,362141,3246.0
2023-07-13,3240.0,3248.0,3205.0,3216.0,430471,347843,3227.0
2023-07-14,3200.0,3273.0,3181.0,3235.0,514161,336120,3230.0
2023-07-17,3250.0,3251.0,3156.0,3163.0,463875,311195,3192.0
2023-07-18,3170.0,3212.0,3166.0,3178.0,341278,293937,3189.0
2023-07-19,3165.0,3228.0,3163.0,3215.0,360426,297871,3199.0
2023-07-20,3243.0,3294.0,3231.0,3241.0,439100,306166,3256.0
2023-07-21,3249.0,3276.0,3244.0,3268.0,345075,308427,3259.0
2023-07-24,3276.0,3316.0,3255.0,3289.0,440542,331388,3279.0
2023-07-25,3330.0,3351.0,3304.0,3346.0,392946,339495,3330.0
2023-07-26,3329.0,3380.0,3320.0,3355.0,352866,326975,3348.0
2023-07-27,3333.0,3395.0,3333.0,3365.0,315064,308183,3364.0
2023-07-28,3386.0,3405.0,3366.0,3403.0,400277,312231,3389.0
2023-07-31,3435.0,3458.0,3405.0,3445.0,461647,286494,3433.0
2023-08-01,3467.0,3549.0,3465.0,3547.0,438170,306081,3512.0
2023-08-02,3532.0,3664.0,3532.0,3640.0,554214,313451,3601.0
2023-08-03,3637.0,3652.0,3561.0,3563.0,588300,273107,3598.0
2023-08-04,3602.0,3663.0,3576.0,3625.0,408220,260291,3611.0
2023-08-07,3633.0,3703.0,3602.0,3657.0,376285,261602,3648.0
2023-08-08,3543.0,3555.0,3470.0,3476.0,413027,158299,3507.0
2023-08-09,3436.0,3550.0,3421.0,3523.0,448676,156800,3490.0
2023-08-10,3560.0,3629.0,3543.0,3587.0,617481,175546,3575.0
2023-08-11,3570.0,3624.0,3559.0,3564.0,563501,179505,3586.0
2023-08-14,3600.0,3613.0,3532.0,3536.0,822789,179073,3578.0
2023-08-15,3535.0,3611.0,3521.0,3589.0,655826,188531,3563.0
2023-08-16,3549.0,3572.0,3509.0,3513.0,603453,179996,3535.0
2023-08-17,3535.0,3586.0,3503.0,3573.0,734192,185240,3547.0
2023-08-18,3600.0,3639.0,3566.0,3591.0,574507,181754,3596.0
2023-08-21,3560.0,3772.0,3555.0,3735.0,853537,194659,3676.0
2023-08-22,3733.0,3748.0,3679.0,3692.0,496844,178582,3707.0
2023-08-23,3695.0,3725.0,3646.0,3648.0,509757,170647,3682.0
2023-08-24,3600.0,3602.0,3509.0,3528.0,786812,157285,3536.0
2023-08-25,3522.0,3565.0,3480.0,3552.0,612563,144352,3532.0
2023-08-28,3463.0,3529.0,3460.0,3497.0,462938,152679,0.0
2023-08-29,3570.0,3593.0,3507.0,3526.0,465195,111531,3555.0
2023-08-30,3563.0,3673.0,3549.0,3648.0,467070,109057,3607.0
2023-08-31,3638.0,3652.0,3604.0,3637.0,291912,99508,3633.0
2023-09-01,3567.0,3620.0,3526.0,3596.0,526044,125468,3571.0
2023-09-04,3638.0,3682.0,3596.0,3602.0,574747,128613,3629.0
2023-09-05,3590.0,3628.0,3565.0,3594.0,500853,126150,3601.0
2023-09-06,3593.0,3754.0,3590.0,3704.0,903931,137362,3720.0
2023-09-07,3702.0,3776.0,3702.0,3742.0,883157,148716,3741.0
2023-09-08,3750.0,3801.0,3722.0,3737.0,940093,144288,3760.0
2023-09-11,3777.0,3798.0,3726.0,3740.0,996252,138597,3763.0
2023-09-12,3746.0,3783.0,3741.0,3755.0,747592,137730,3761.0
2023-09-13,3799.0,3835.0,3790.0,3809.0,878439,143668,3814.0
2023-09-14,3818.0,3823.0,3774.0,3812.0,634011,132400,3798.0
2023-09-15,3850.0,3868.0,3820.0,3839.0,552987,130609,3841.0
2023-09-18,3806.0,3825.0,3738.0,3824.0,681384,130712,3777.0
2023-09-19,3820.0,3824.0,3729.0,3737.0,538903,123896,3767.0
2023-09-20,3766.0,3769.0,3663.0,3678.0,499909,116124,3714.0
2023-09-21,3686.0,3707.0,3650.0,3660.0,456269,114636,3679.0
2023-09-22,3705.0,3783.0,3701.0,3763.0,654845,124089,3759.0
2023-09-25,3785.0,3794.0,3754.0,3777.0,470928,122185,3772.0
2023-09-26,3745.0,3761.0,3681.0,3684.0,471919,106819,3725.0
2023-09-27,3706.0,3843.0,3697.0,3820.0,511713,111924,3779.0
