date,open,high,low,close,volume,hold,settle
2023-06-19,815.0,825.0,805.0,809.5,901580,828825,814.0
2023-06-20,810.0,812.5,799.0,806.5,680595,825941,805.5
2023-06-21,803.5,810.5,791.5,797.5,898145,804577,800.5
2023-06-26,785.0,799.5,784.0,797.0,523391,833933,791.5
2023-06-27,798.0,825.0,794.5,824.0,795385,895927,810.5
2023-06-28,822.5,831.5,817.5,830.5,654439,901230,823.5
2023-06-29,830.0,835.0,823.5,830.5,581347,895601,828.5
2023-06-30,828.5,841.0,822.0,822.5,724966,869565,833.0
2023-07-03,822.0,830.0,814.0,819.0,682871,833495,821.5
2023-07-04,822.0,829.0,815.0,821.0,541548,831727,822.0
2023-07-05,820.5,828.5,815.0,828.0,576880,845530,821.5
2023-07-06,828.0,835.0,822.0,829.5,562836,842683,828.0
2023-07-07,829.5,832.5,812.0,812.5,636306,815314,824.0
2023-07-10,811.0,816.0,793.5,795.5,717169,780310,806.5
2023-07-11,794.0,813.5,794.0,807.0,642556,771927,804.0
2023-07-12,808.0,825.0,808.0,825.0,588646,796487,816.0
2023-07-13,826.0,833.0,823.5,829.0,495720,815744,828.0
2023-07-14,828.0,850.0,826.5,849.0,564680,846981,840.0
2023-07-17,849.5,851.5,830.5,832.5,581590,797181,839.5
2023-07-18,835.5,847.5,830.5,845.0,472946,819599,839.0
2023-07-19,840.5,844.5,824.0,834.0,611316,764198,835.0
2023-07-20,836.5,852.5,835.5,849.5,595504,787366,847.5
2023-07-21,853.5,854.5,835.0,846.5,528908,754225,842.5
2023-07-24,846.5,850.5,840.0,843.0,433797,749499,845.0
2023-07-25,845.0,859.5,837.5,856.5,520212,754823,851.0
2023-07-26,859.0,875.5,855.0,866.0,461168,739794,865.0
2023-07-27,860.0,866.0,845.0,848.5,482741,675256,857.5
2023-07-28,840.0,852.0,824.5,834.5,638746,593521,837.0
2023-07-31,830.5,842.0,822.0,841.5,471241,571847,830.5
2023-08-01,844.0,849.0,832.5,838.5,377188,556584,840.0
2023-08-02,835.0,843.0,830.0,831.0,332272,539551,835.5
2023-08-03,829.0,829.5,808.5,810.5,473281,493312,820.0
2023-08-04,816.0,830.0,815.0,817.5,326262,440396,821.0
2023-08-07,724.0,726.5,712.5,719.5,514719,624348,718.0
2023-08-08,722.5,728.0,715.0,716.0,414757,648875,722.5
2023-08-09,712.0,725.0,709.5,723.0,466433,660319,718.0
2023-08-10,721.0,733.5,712.5,714.5,569985,669112,724.0
2023-08-11,718.0,740.5,717.5,739.0,661206,654595,728.0
2023-08-14,737.0,739.5,720.0,725.0,535293,657705,728.5
2023-08-15,723.0,744.0,723.0,740.0,606559,659806,732.5
2023-08-16,739.0,743.5,731.5,738.5,417517,668642,736.5
2023-08-17,739.5,769.5,736.0,768.5,749815,686977,749.5
2023-08-18,768.5,776.0,764.0,771.5,579030,688052,770.0
2023-08-21,773.0,781.0,759.0,777.0,713135,663261,771.0
2023-08-22,775.0,807.5,774.5,805.5,691461,676410,788.0
2023-08-23,806.0,832.5,804.5,817.0,748864,672098,818.0
2023-08-24,818.5,831.5,809.5,811.0,649398,677675,822.5
2023-08-25,810.0,831.0,808.5,827.0,610199,707835,819.5
2023-08-28,827.0,834.0,803.5,812.5,739825,686123,819.0
2023-08-29,811.0,823.0,804.0,810.5,595637,708197,813.0
2023-08-30,811.0,830.0,807.5,829.0,562527,718612,820.0
2023-08-31,831.0,850.0,830.0,849.0,658887,733485,841.5
2023-09-01,852.0,853.5,836.0,845.5,605222,706641,844.0
2023-09-04,849.0,865.5,836.5,844.5,789675,692596,851.5
2023-09-05,845.0,863.0,843.0,846.5,581446,708843,852.5
2023-09-06,847.0,858.5,844.0,853.5,557097,725378,852.5
2023-09-07,858.0,863.0,831.0,836.5,763125,720724,845.0
2023-09-08,832.0,839.5,823.5,827.5,695097,709377,831.5
2023-09-11,829.0,854.5,826.5,851.5,624747,738946,842.5
2023-09-12,853.5,864.5,849.0,859.0,547269,755169,856.5
2023-09-13,863.0,867.5,846.5,860.5,564042,757872,856.5
2023-09-14,861.5,866.5,853.5,863.5,561190,779970,859.0
2023-09-15,870.0,881.5,866.5,879.0,546963,796619,873.0
2023-09-18,876.0,877.5,859.0,871.5,612805,762770,868.5
2023-09-19,873.0,879.0,861.5,862.5,504793,755564,869.5
2023-09-20,865.0,876.5,862.0,873.5,517540,784092,870.5
2023-09-21,877.0,878.0,851.0,854.0,712845,769204,864.0
2023-09-22,851.5,874.5,851.5,871.5,577712,781801,862.0
2023-09-25,873.0,876.0,839.5,844.5,722150,751626,855.0
2023-09-26,844.5,851.5,835.0,841.0,557580,731026,841.5
2023-09-27,842.0,851.0,837.5,846.5,410261,722248,844.5
2023-09-28,847.5,858.0,842.0,852.0,478646,698712,851.5
2023-10-09,848.0,848.0,822.5,828.0,423844,717638,833.5
2023-10-10,830.0,831.5,812.5,819.0,504239,730696,819.0
2023-10-11,822.0,831.0,816.0,827.5,478310,748753,823.5
2023-10-12,830.0,837.5,823.5,837.0,546788,773292,830.0
2023-10-13,838.0,843.0,832.5,842.0,466244,797809,838.0
2023-10-16,843.0,863.0,836.0,862.0,595161,829243,848.0
2023-10-17,860.5,873.5,857.0,866.0,478896,855986,864.5
2023-10-18,868.0,876.5,860.0,861.0,540750,871397,868.0
2023-10-19,863.0,875.0,856.5,871.5,530131,875076,866.5
2023-10-20,871.0,873.5,837.0,839.0,733801,810875,856.0
2023-10-23,840.0,842.5,825.5,835.0,551320,800950,833.0
2023-10-24,837.0,864.5,831.5,864.5,659220,816262,844.0
2023-10-25,867.0,878.5,863.0,872.0,699155,847544,870.5
2023-10-26,870.0,880.5,864.0,876.5,630789,883758,871.0
2023-10-27,870.0,894.5,867.0,889.5,761425,910314,878.0
2023-10-30,892.0,901.0,890.0,900.0,479473,914891,895.5
2023-10-31,901.5,904.5,891.0,898.5,453686,918305,897.0
2023-11-01,897.5,923.0,895.0,919.5,649445,925668,912.0
2023-11-02,920.0,929.5,911.5,926.5,509616,933792,920.5
2023-11-03,923.0,936.0,917.5,924.5,607649,916358,925.5
2023-11-06,927.0,938.0,922.5,925.0,527741,893418,928.0
2023-11-07,925.0,932.5,917.5,923.5,490049,888670,925.5
2023-11-08,920.0,935.5,913.5,935.0,517183,914241,922.5
2023-11-09,934.0,943.5,931.5,939.0,385603,940423,937.5
2023-11-10,939.0,962.0,939.0,961.5,420183,941744,950.5
2023-11-13,956.0,973.5,954.5,966.5,421412,920945,963.0
2023-11-14,967.0,968.0,957.0,965.5,315236,910660,962.0
2023-11-15,973.0,995.0,961.5,971.5,698339,877194,980.0
2023-11-16,969.0,970.5,947.0,965.0,545240,811026,956.0
2023-11-17,967.0,977.0,950.0,952.0,366138,782123,963.5
2023-11-20,952.0,972.5,945.0,968.0,338089,769374,960.0
2023-11-21,970.0,988.0,970.0,978.5,315117,733913,978.5
2023-11-22,979.5,995.0,975.0,993.5,303938,725613,985.0
2023-11-23,993.5,998.5,963.0,976.5,432852,697344,980.5
2023-11-24,983.0,988.5,968.0,986.5,237099,686231,977.0
2023-11-27,990.0,990.0,968.0,980.5,255078,661897,976.5
2023-11-28,980.0,980.0,941.0,951.0,357065,612043,960.0
2023-11-29,955.0,964.5,949.0,955.5,210872,576726,956.5
2023-11-30,955.5,975.0,941.5,969.5,293193,551396,956.5
2023-12-01,969.0,978.0,962.0,975.5,224810,505004,969.0
2023-12-04,978.0,983.0,955.5,958.0,214910,469733,969.5
2023-12-05,961.0,971.5,954.0,966.0,171953,438156,962.0
2023-12-06,910.0,930.5,900.5,930.0,223887,436134,916.0
2023-12-07,932.0,953.0,927.5,952.0,270595,479972,941.0
2023-12-08,950.5,975.5,941.5,963.5,316880,483591,958.5
2023-12-11,958.0,966.0,943.5,955.0,244957,483231,955.0
2023-12-12,955.0,971.5,951.5,969.5,199933,502723,961.0
2023-12-13,970.0,970.0,937.0,948.0,304763,485424,952.0
2023-12-14,952.0,958.0,940.5,942.0,222418,484392,948.0
2023-12-15,945.0,955.5,930.0,935.0,307433,491890,943.0
2023-12-18,937.0,939.0,915.0,928.0,314172,481680,924.0
2023-12-19,928.0,933.0,920.0,923.0,201056,486363,925.5
2023-12-20,925.0,945.0,923.5,939.0,224790,498781,935.0
2023-12-21,939.0,968.0,933.5,968.0,271132,522954,948.5
2023-12-22,967.5,984.0,965.5,977.0,297307,524217,973.0
2023-12-25,972.5,978.5,961.0,970.5,233932,524473,970.5
2023-12-26,972.5,990.5,969.5,983.5,221576,540482,980.5
2023-12-27,983.0,987.0,966.5,985.5,246578,539452,979.0
2023-12-28,986.0,989.0,963.5,966.0,261059,521103,976.0
2023-12-29,970.0,981.5,966.0,979.0,218621,525791,973.5
2024-01-02,972.5,1003.0,967.0,1002.0,224066,551896,989.5
2024-01-03,1002.0,1025.5,999.0,1017.5,244826,553090,1013.0
2024-01-04,1017.5,1021.5,1005.0,1016.0,211054,556748,1014.0
2024-01-05,1013.0,1017.0,993.0,1000.0,273003,550087,1003.5
2024-01-08,1002.0,1009.5,988.0,992.5,273603,541088,996.5
2024-01-09,995.0,1001.5,984.0,994.0,255635,541012,992.0
2024-01-10,991.0,993.0,960.0,962.0,333044,518327,976.5
2024-01-11,960.0,980.0,952.5,976.5,341601,528880,965.5
2024-01-12,976.0,981.0,948.0,948.5,342587,522175,963.5
2024-01-15,948.0,955.0,932.0,933.0,364750,518901,944.5
2024-01-16,931.0,941.5,924.5,938.5,308959,515269,933.0
2024-01-17,948.0,953.5,925.5,926.0,318234,519137,941.0
2024-01-18,924.0,950.5,920.5,948.5,356357,519795,932.5
2024-01-19,947.0,958.0,938.0,957.0,259349,520142,947.0
2024-01-22,954.5,959.5,943.0,952.0,279140,518494,952.0
2024-01-23,949.5,971.5,945.5,965.5,255097,517362,962.0
2024-01-24,966.5,979.5,962.5,979.0,245645,519487,971.5
2024-01-25,988.0,997.0,983.5,987.0,301038,540101,990.5
2024-01-26,988.5,995.5,981.0,989.5,251258,540766,988.0
2024-01-29,993.0,1006.0,988.5,998.5,237077,551535,997.0
2024-01-30,1000.0,1003.0,977.0,979.5,238209,540982,991.0
2024-01-31,980.0,983.0,960.5,960.5,280418,530700,971.5
2024-02-01,958.0,971.5,955.0,968.0,265291,535094,962.5
2024-02-02,968.5,968.5,935.5,941.0,354290,506225,949.0
2024-02-05,941.0,958.5,933.5,943.0,275085,491294,945.0
2024-02-06,938.5,944.5,924.0,939.0,276436,485038,933.5
2024-02-07,938.5,949.0,936.0,944.0,184640,467367,941.0
2024-02-08,944.0,967.5,943.5,963.5,216492,449854,956.5
2024-02-19,973.0,977.5,949.0,951.5,199101,472144,961.5
2024-02-20,951.5,952.0,909.0,909.5,396913,511906,930.0
2024-02-21,907.0,928.0,892.0,893.0,605046,523416,907.0
2024-02-22,893.0,905.0,885.5,893.5,399371,529754,895.0
2024-02-23,893.5,915.0,893.5,899.0,352717,519172,904.0
2024-02-26,899.0,908.0,871.0,875.0,440357,539356,886.5
2024-02-27,872.5,900.0,865.0,897.5,455518,517036,879.5
2024-02-28,897.5,905.5,882.5,889.0,384547,522548,893.5
2024-02-29,885.5,901.0,876.0,892.0,406032,516375,887.0
2024-03-01,892.0,903.0,871.0,871.5,374613,510686,891.0
2024-03-04,871.0,891.5,860.5,890.0,491889,514024,873.5
2024-03-05,887.0,895.5,875.0,879.5,363790,517733,883.5
2024-03-06,877.0,885.5,863.5,881.5,383412,517025,874.0
2024-03-07,881.0,896.0,876.5,890.0,360332,515311,887.0
2024-03-08,888.0,892.5,868.0,877.0,422449,486762,878.5
2024-03-11,877.0,877.0,830.0,831.0,445869,495786,850.5
2024-03-12,828.5,836.5,820.5,831.5,377635,489156,828.5
2024-03-13,836.0,838.0,804.0,807.5,401369,490917,819.5
2024-03-14,812.0,822.0,795.5,798.0,438052,483513,809.5
2024-03-15,795.0,808.0,781.0,781.5,420108,478660,795.5
2024-03-18,780.0,805.0,762.0,803.0,543510,472070,785.0
2024-03-19,805.0,827.5,797.5,827.0,458213,450920,813.5
2024-03-20,828.0,837.0,818.0,823.5,376795,426702,827.0
2024-03-21,824.0,852.0,812.0,849.5,439221,407676,831.5
2024-03-22,848.0,849.5,827.5,844.0,349877,395360,839.5
2024-03-25,845.0,854.5,838.0,842.0,301246,378729,846.0
2024-03-26,842.5,853.5,813.0,814.5,360818,368603,835.0
2024-03-27,814.5,826.0,803.0,805.5,373682,331178,812.5
2024-03-28,754.5,769.5,748.5,758.0,475329,401605,758.5
2024-03-29,758.5,761.5,737.0,740.0,489444,442134,748.5
2024-04-01,737.0,769.0,728.0,768.0,620862,452395,745.0
2024-04-02,769.5,775.5,760.5,768.0,496096,468766,768.5
2024-04-03,768.5,781.5,748.0,749.0,568928,473606,767.0
2024-04-08,743.5,793.5,742.0,791.5,530526,467730,772.0
2024-04-09,793.5,817.5,789.5,815.5,563918,472517,802.0
2024-04-10,816.5,826.0,805.0,813.5,528950,482745,815.5
2024-04-11,810.0,828.0,807.5,826.0,530059,491559,818.0
2024-04-12,828.5,844.0,815.5,843.5,495637,496014,827.5
2024-04-15,841.0,847.0,829.0,845.5,472490,499440,838.5
2024-04-16,847.0,847.0,821.0,826.0,566211,490719,834.5
2024-04-17,828.5,873.5,826.0,870.0,680232,500717,848.0
2024-04-18,869.5,882.5,866.0,874.0,534575,483688,874.0
2024-04-19,874.0,877.5,856.5,871.0,528987,475467,867.0
2024-04-22,866.5,875.0,857.5,866.5,462804,476210,865.5
2024-04-23,866.0,869.5,848.5,849.0,482963,477664,861.5
2024-04-24,847.0,888.0,846.5,888.0,564852,505410,870.5
2024-04-25,881.0,895.5,873.0,879.5,476052,490090,884.0
2024-04-26,881.0,889.0,871.0,884.5,298415,485535,879.0
2024-04-29,884.0,887.0,865.5,874.5,327103,471498,874.5
2024-04-30,874.5,882.0,862.0,874.0,320729,456753,873.0
2024-05-06,880.0,898.0,874.0,896.0,260461,478078,887.0
2024-05-07,897.0,902.0,882.0,886.5,253569,477507,892.0
2024-05-08,888.0,891.5,866.0,866.0,312025,476068,880.0
2024-05-09,868.0,881.0,860.0,865.5,321006,474772,870.5
2024-05-10,870.0,877.0,857.0,873.5,349977,465210,867.0
2024-05-13,873.5,890.0,855.0,888.0,385472,470890,872.0
2024-05-14,888.0,890.0,858.0,865.5,346196,450886,871.5
2024-05-15,868.0,868.0,851.0,858.0,354870,446281,859.0
2024-05-16,860.0,888.5,856.5,881.0,389733,437749,872.5
2024-05-17,880.0,894.0,877.5,891.5,263855,438103,885.0
2024-05-20,888.5,906.0,878.5,894.5,333314,426347,893.0
2024-05-21,890.0,909.5,885.0,908.0,330860,431160,896.5
2024-05-22,910.0,925.5,908.0,921.0,320480,430122,916.5
2024-05-23,919.0,924.5,898.0,906.5,330913,410866,912.0
2024-05-24,908.0,916.0,900.0,908.0,268551,404216,909.0
2024-05-27,910.0,912.5,893.0,899.0,251227,399524,901.5
2024-05-28,900.0,914.0,882.0,882.5,328677,405443,901.0
2024-05-29,885.0,895.0,880.0,891.0,302181,403165,886.0
2024-05-30,882.0,897.5,862.0,865.0,469539,397362,880.0
2024-05-31,866.0,873.0,861.0,865.0,244502,395236,866.5
2024-06-03,863.0,866.5,840.0,843.5,362898,390908,852.0
2024-06-04,842.0,849.5,831.5,834.0,319907,397070,840.5
2024-06-05,831.0,841.5,824.0,825.0,312883,395932,831.5
2024-06-06,830.0,844.0,825.0,839.5,364330,375988,833.5
2024-06-07,840.5,851.0,833.0,839.5,299117,366279,841.0
2024-06-11,831.5,838.5,805.5,806.0,315622,384139,818.0
2024-06-12,806.0,815.5,803.5,810.5,241040,383202,809.5
2024-06-13,819.0,823.0,797.0,817.0,337628,387422,811.5
2024-06-14,823.0,836.5,818.0,827.5,369040,375774,826.5
2024-06-17,830.0,833.0,808.5,813.0,290243,376638,818.5
2024-06-18,816.0,840.0,812.5,820.5,416964,365556,827.0
2024-06-19,820.5,835.5,818.0,824.0,305548,369048,827.5
2024-06-20,828.0,835.0,814.0,824.5,368800,368427,825.5
2024-06-21,821.0,830.5,810.5,811.5,318599,373499,821.0
2024-06-24,810.0,810.5,792.5,795.5,308838,379001,801.0
2024-06-25,796.0,807.0,791.0,801.0,253294,369483,799.0
2024-06-26,801.0,826.0,796.0,826.0,324603,365189,809.0
2024-06-27,825.0,830.0,818.0,819.0,259586,368192,823.5
2024-06-28,820.0,827.5,812.0,825.0,270669,363206,819.5
2024-07-01,825.0,842.0,821.5,840.0,296331,369134,831.0
2024-07-02,845.5,846.5,836.5,843.0,228423,367855,842.5
2024-07-03,843.5,864.5,839.0,864.0,303516,369876,849.5
2024-07-04,862.0,870.0,857.5,864.5,258389,373474,863.0
2024-07-05,862.5,866.0,842.0,845.5,297619,361492,854.0
2024-07-08,849.0,851.0,822.5,825.5,332068,345349,838.0
2024-07-09,828.0,837.5,816.5,834.0,293313,343403,828.0
2024-07-10,832.0,834.5,811.0,813.0,281320,341413,821.5
2024-07-11,813.5,839.0,813.5,828.0,324733,336320,824.5
2024-07-12,830.0,832.5,819.5,827.0,256630,331497,825.5
2024-07-15,828.0,843.0,817.0,834.0,307431,325963,832.0
2024-07-16,835.0,836.5,818.0,824.0,301304,316301,827.0
2024-07-17,821.5,830.0,805.0,805.0,309688,321330,819.0
2024-07-18,807.0,814.5,798.0,811.5,253732,317747,806.0
2024-07-19,807.5,809.0,792.5,804.5,304745,312254,801.0
2024-07-22,803.5,809.5,793.5,798.5,260099,309693,802.0
2024-07-23,797.0,802.0,773.0,774.5,323719,317266,788.5
