date,open,high,low,close,volume,hold,settle
2023-06-19,3720.0,3735.0,3675.0,3705.0,1342446,1329379,3700.0
2023-06-20,3710.0,3790.0,3706.0,3755.0,1237170,1345087,3757.0
2023-06-21,3745.0,3820.0,3735.0,3819.0,1226081,1375204,3783.0
2023-06-26,3725.0,3789.0,3723.0,3787.0,771150,1367264,3757.0
2023-06-27,3795.0,3815.0,3740.0,3751.0,1148115,1342037,3769.0
2023-06-28,3710.0,3757.0,3697.0,3740.0,1086620,1339549,3724.0
2023-06-29,3714.0,3740.0,3688.0,3736.0,1201314,1325917,3715.0
2023-06-30,3723.0,3778.0,3704.0,3756.0,1168990,1289040,3741.0
2023-07-03,3756.0,3965.0,3746.0,3965.0,1130889,1296165,3893.0
2023-07-04,4030.0,4030.0,3926.0,3977.0,1654175,1273358,3976.0
2023-07-05,3972.0,4018.0,3958.0,3991.0,1145804,1273284,3986.0
2023-07-06,3989.0,4005.0,3940.0,3985.0,1141839,1301047,3977.0
2023-07-07,3974.0,3987.0,3945.0,3967.0,1059982,1301697,3967.0
2023-07-10,3959.0,3977.0,3898.0,3975.0,1185659,1277716,3934.0
2023-07-11,3990.0,4045.0,3984.0,3994.0,1208258,1259271,4010.0
2023-07-12,4015.0,4071.0,3983.0,4051.0,948510,1282282,4033.0
2023-07-13,4060.0,4096.0,3972.0,4020.0,1226458,1271499,4025.0
2023-07-14,4035.0,4095.0,4022.0,4023.0,975633,1246438,4052.0
2023-07-17,4050.0,4089.0,4030.0,4064.0,1088375,1267936,4062.0
2023-07-18,4084.0,4111.0,4056.0,4068.0,1234397,1283031,4082.0
2023-07-19,4097.0,4158.0,4088.0,4155.0,1257550,1350835,4137.0
2023-07-20,4192.0,4230.0,4157.0,4188.0,1491514,1314737,4193.0
2023-07-21,4181.0,4185.0,4138.0,4156.0,1120053,1278911,4159.0
2023-07-24,4140.0,4208.0,4137.0,4164.0,1346118,1252832,4178.0
2023-07-25,4190.0,4258.0,4175.0,4236.0,1162213,1260853,4216.0
2023-07-26,4217.0,4273.0,4211.0,4270.0,1017495,1270521,4240.0
2023-07-27,4267.0,4374.0,4261.0,4311.0,1429696,1225691,4324.0
2023-07-28,4314.0,4346.0,4266.0,4274.0,1278669,1154936,4302.0
2023-07-31,4262.0,4277.0,4195.0,4253.0,1227735,1100388,4237.0
2023-08-01,4246.0,4314.0,4246.0,4311.0,1199660,1041141,4285.0
2023-08-02,4297.0,4353.0,4284.0,4339.0,1067587,996692,4322.0
2023-08-03,4308.0,4342.0,4279.0,4322.0,1116415,926748,4313.0
2023-08-04,4325.0,4358.0,4317.0,4349.0,963265,883053,4337.0
2023-08-07,4352.0,4387.0,4321.0,4372.0,1094492,854467,4360.0
2023-08-08,4363.0,4389.0,4332.0,4371.0,827115,838934,4362.0
2023-08-09,4358.0,4466.0,4345.0,4426.0,1015795,758522,4410.0
2023-08-10,4427.0,4491.0,4413.0,4488.0,698741,722275,4444.0
2023-08-11,4489.0,4514.0,4445.0,4487.0,799935,628233,4481.0
2023-08-14,3860.0,3884.0,3800.0,3883.0,1197091,1556003,3841.0
2023-08-15,3890.0,3929.0,3872.0,3914.0,1343261,1611722,3906.0
2023-08-16,3898.0,3910.0,3865.0,3900.0,1212313,1635027,3887.0
2023-08-17,3902.0,3977.0,3902.0,3962.0,1401852,1693166,3940.0
2023-08-18,3950.0,4022.0,3940.0,4010.0,1481616,1766131,3982.0
2023-08-21,3990.0,4125.0,3986.0,4088.0,1742911,1762033,4068.0
2023-08-22,4089.0,4097.0,3972.0,3974.0,1736491,1741968,4037.0
2023-08-23,3990.0,4024.0,3964.0,3979.0,1434258,1780520,3994.0
2023-08-24,3980.0,4034.0,3977.0,3997.0,1300444,1824166,4002.0
2023-08-25,3998.0,4092.0,3984.0,4075.0,1407032,1835330,4045.0
2023-08-28,4086.0,4193.0,4064.0,4120.0,1993719,1860535,4133.0
2023-08-29,4120.0,4176.0,4115.0,4144.0,1476214,1850951,4148.0
2023-08-30,4140.0,4159.0,4111.0,4136.0,1149074,1824983,4134.0
2023-08-31,4155.0,4165.0,4123.0,4137.0,1025790,1811100,4144.0
2023-09-01,4137.0,4150.0,4075.0,4105.0,1775440,1856922,4109.0
2023-09-04,4105.0,4131.0,4019.0,4032.0,1749973,1823908,4076.0
2023-09-05,4036.0,4110.0,4033.0,4086.0,1189951,1854648,4076.0
2023-09-06,4086.0,4147.0,4075.0,4135.0,1149962,1863808,4118.0
2023-09-07,4150.0,4173.0,4113.0,4137.0,1217989,1840232,4144.0
