date,open,high,low,close,volume,hold,settle
2023-06-19,12140.0,12245.0,12030.0,12085.0,351649,215232,12135.0
2023-06-20,12095.0,12100.0,11975.0,12055.0,199983,217135,12045.0
2023-06-21,12065.0,12150.0,12020.0,12035.0,189913,211870,12080.0
2023-06-26,11985.0,11985.0,11820.0,11860.0,232325,217419,11865.0
2023-06-27,11880.0,11980.0,11870.0,11950.0,180980,210208,11935.0
2023-06-28,11945.0,11960.0,11870.0,11935.0,146806,208805,11920.0
2023-06-29,11910.0,11940.0,11860.0,11885.0,160934,209779,11895.0
2023-06-30,11865.0,12120.0,11865.0,12080.0,278034,203755,12025.0
2023-07-03,12080.0,12130.0,12070.0,12095.0,165508,203497,12100.0
2023-07-04,12095.0,12100.0,12005.0,12065.0,149959,200348,12050.0
2023-07-05,12070.0,12190.0,12045.0,12175.0,238750,206441,12105.0
2023-07-06,12200.0,12500.0,12165.0,12485.0,416929,226249,12345.0
2023-07-07,12505.0,12565.0,12405.0,12460.0,314233,220908,12485.0
2023-07-10,12450.0,12540.0,12335.0,12340.0,260496,209257,12425.0
2023-07-11,12305.0,12385.0,12240.0,12340.0,252181,212163,12320.0
2023-07-12,12320.0,12435.0,12275.0,12380.0,245365,212481,12355.0
2023-07-13,12400.0,12520.0,12320.0,12430.0,282383,214310,12410.0
2023-07-14,12435.0,12510.0,12345.0,12480.0,275428,210823,12420.0
2023-07-17,12530.0,12555.0,12110.0,12125.0,393504,196577,12280.0
2023-07-18,12135.0,12175.0,12090.0,12160.0,194281,194485,12135.0
2023-07-19,12150.0,12225.0,12140.0,12200.0,199157,190765,12180.0
2023-07-20,12180.0,12300.0,12165.0,12260.0,261478,192323,12220.0
2023-07-21,12165.0,12245.0,12040.0,12115.0,283081,190311,12125.0
2023-07-24,12055.0,12115.0,12020.0,12050.0,211339,195117,12070.0
2023-07-25,12050.0,12155.0,12045.0,12140.0,198439,192230,12100.0
2023-07-26,12140.0,12280.0,12130.0,12200.0,264142,177922,12215.0
2023-07-27,12200.0,12250.0,12140.0,12175.0,206034,172046,12195.0
2023-07-28,12175.0,12260.0,12095.0,12205.0,252986,166898,12190.0
2023-07-31,12200.0,12340.0,12200.0,12300.0,255338,151852,12280.0
2023-08-01,12325.0,12330.0,12170.0,12185.0,137740,141166,12260.0
2023-08-02,12165.0,12220.0,12110.0,12210.0,113218,140469,12170.0
2023-08-03,12210.0,12245.0,11955.0,11975.0,198118,130844,12070.0
2023-08-04,12015.0,12045.0,11975.0,11990.0,87091,126069,12005.0
2023-08-07,12000.0,12025.0,11905.0,11960.0,92699,120309,11950.0
2023-08-08,12920.0,12965.0,12860.0,12890.0,84735,125255,12905.0
2023-08-09,12850.0,13030.0,12830.0,12980.0,136645,128916,12955.0
2023-08-10,12970.0,13010.0,12945.0,12985.0,108354,131864,12975.0
2023-08-11,12985.0,13075.0,12920.0,13010.0,141251,131713,13000.0
2023-08-14,12995.0,13020.0,12770.0,12830.0,207129,145710,12875.0
2023-08-15,12830.0,12845.0,12775.0,12805.0,120494,150035,12805.0
2023-08-16,12785.0,12815.0,12725.0,12755.0,130877,155809,12760.0
2023-08-17,12755.0,12830.0,12725.0,12820.0,137079,156837,12780.0
2023-08-18,12820.0,12875.0,12765.0,12795.0,124337,158112,12820.0
2023-08-21,12795.0,13055.0,12795.0,13000.0,298262,145482,12980.0
2023-08-22,13000.0,13070.0,12940.0,13050.0,170022,148311,13005.0
2023-08-23,13045.0,13280.0,13020.0,13225.0,247465,160513,13140.0
2023-08-24,13210.0,13270.0,13165.0,13210.0,175578,162625,13210.0
2023-08-25,13205.0,13340.0,13190.0,13270.0,194862,166825,13255.0
2023-08-28,13270.0,13425.0,13225.0,13200.0,269600,166447,0.0
2023-08-29,13205.0,13270.0,13120.0,13180.0,179572,163838,13195.0
2023-08-30,13190.0,13350.0,13190.0,13305.0,194846,166916,13290.0
2023-08-31,13325.0,13430.0,13285.0,13330.0,223687,168858,13360.0
2023-09-01,13350.0,14160.0,13330.0,14160.0,651957,197054,13850.0
2023-09-04,14280.0,14735.0,13965.0,14100.0,1038795,190282,14370.0
2023-09-05,14070.0,14290.0,13985.0,14130.0,533446,197878,14160.0
2023-09-06,14100.0,14350.0,14065.0,14230.0,459174,198107,14220.0
2023-09-07,14245.0,14425.0,13965.0,14420.0,579547,197446,14195.0
2023-09-08,14450.0,14680.0,14170.0,14255.0,931975,193371,14400.0
2023-09-11,14290.0,14460.0,14150.0,14355.0,504233,195660,14320.0
2023-09-12,14380.0,14535.0,14230.0,14370.0,462798,196628,14395.0
2023-09-13,14375.0,14405.0,14195.0,14295.0,461952,195340,14290.0
2023-09-14,14295.0,14445.0,14175.0,14440.0,437275,201826,14300.0
2023-09-15,14500.0,14535.0,14335.0,14455.0,357259,199766,14425.0
2023-09-18,14455.0,14455.0,14165.0,14285.0,429325,196857,14265.0
2023-09-19,14285.0,14480.0,14235.0,14235.0,382402,195255,14355.0
2023-09-20,14205.0,14320.0,14165.0,14210.0,334635,198647,14245.0
2023-09-21,14210.0,14225.0,13975.0,14000.0,378193,199072,14120.0
2023-09-22,14000.0,14295.0,13910.0,14265.0,319717,189284,14120.0
2023-09-25,14265.0,14295.0,14030.0,14120.0,257390,184908,14165.0
2023-09-26,14115.0,14135.0,13805.0,13835.0,334859,181814,13980.0
2023-09-27,13910.0,13915.0,13760.0,13800.0,222039,172183,13845.0
2023-09-28,13805.0,13985.0,13800.0,13930.0,213539,159539,13890.0
2023-10-09,13880.0,14185.0,13865.0,14010.0,204229,161535,14095.0
2023-10-10,14020.0,14245.0,13925.0,13960.0,342134,167837,14105.0
2023-10-11,13960.0,14355.0,13955.0,14345.0,384989,180402,14160.0
2023-10-12,14350.0,14725.0,14350.0,14665.0,587577,194215,14560.0
2023-10-13,14700.0,14890.0,14620.0,14840.0,474469,202128,14720.0
2023-10-16,14910.0,14920.0,14725.0,14750.0,381673,195475,14800.0
2023-10-17,14760.0,14875.0,14660.0,14775.0,464969,194928,14760.0
2023-10-18,14770.0,14805.0,14645.0,14665.0,470859,191810,14730.0
2023-10-19,14735.0,14875.0,14600.0,14610.0,537011,188670,14715.0
2023-10-20,14605.0,14690.0,14375.0,14455.0,437942,178570,14560.0
2023-10-23,14500.0,14560.0,14395.0,14480.0,368422,176179,14470.0
2023-10-24,14520.0,14575.0,14405.0,14525.0,385807,178659,14485.0
2023-10-25,14525.0,14750.0,14465.0,14745.0,442378,186647,14585.0
2023-10-26,14730.0,14755.0,14490.0,14605.0,396102,178467,14630.0
2023-10-27,14595.0,14635.0,14385.0,14460.0,430274,180163,14515.0
2023-10-30,14460.0,14475.0,14110.0,14205.0,489839,182560,14230.0
2023-10-31,14225.0,14260.0,14040.0,14175.0,328902,177981,14150.0
2023-11-01,14195.0,14220.0,14105.0,14180.0,258100,177757,14150.0
2023-11-02,14210.0,14275.0,14135.0,14200.0,268550,174530,14195.0
2023-11-03,14230.0,14320.0,14200.0,14245.0,232737,170916,14260.0
2023-11-06,14260.0,14285.0,14020.0,14165.0,363237,171766,14125.0
2023-11-07,14135.0,14260.0,13975.0,14045.0,349408,172479,14140.0
2023-11-08,14045.0,14205.0,14000.0,14170.0,273859,170551,14095.0
2023-11-09,14170.0,14250.0,14045.0,14200.0,335475,167009,14150.0
2023-11-10,14205.0,14400.0,14175.0,14355.0,472333,161648,14295.0
2023-11-13,14355.0,14370.0,14230.0,14315.0,302303,161134,14300.0
2023-11-14,14290.0,14480.0,14290.0,14450.0,324849,165085,14415.0
2023-11-15,14450.0,14515.0,14370.0,14495.0,277533,161817,14435.0
2023-11-16,14505.0,14590.0,14430.0,14585.0,298417,162389,14485.0
2023-11-17,14565.0,14605.0,14190.0,14200.0,421771,157888,14365.0
2023-11-20,14220.0,14430.0,14215.0,14370.0,319670,142169,14330.0
2023-11-21,14420.0,14470.0,14030.0,14090.0,351541,139079,14295.0
2023-11-22,14105.0,14115.0,13875.0,13925.0,292853,138671,14010.0
2023-11-23,13930.0,13965.0,13810.0,13905.0,243408,134939,13880.0
2023-11-24,13920.0,14000.0,13860.0,13965.0,175093,131534,13920.0
2023-11-27,13995.0,14060.0,13865.0,13935.0,218374,122176,13955.0
2023-11-28,13930.0,13995.0,13840.0,13950.0,211635,116991,13910.0
2023-11-29,13950.0,13960.0,13595.0,13625.0,290980,111163,13815.0
2023-11-30,13665.0,13695.0,13595.0,13620.0,148031,97343,13640.0
2023-12-01,13620.0,13750.0,13340.0,13395.0,151892,79223,13545.0
2023-12-04,13460.0,13460.0,13230.0,13300.0,104927,71907,13320.0
2023-12-05,13480.0,13505.0,13165.0,13260.0,191193,137049,13335.0
2023-12-06,13245.0,13330.0,13115.0,13330.0,161325,139268,13220.0
2023-12-07,13320.0,13385.0,13185.0,13355.0,148727,143923,13290.0
2023-12-08,13350.0,13650.0,13335.0,13615.0,198540,145259,13455.0
2023-12-11,13620.0,13690.0,13475.0,13565.0,165188,143600,13555.0
2023-12-12,13565.0,13625.0,13495.0,13590.0,121827,147456,13550.0
2023-12-13,13570.0,13600.0,13340.0,13405.0,190979,150763,13445.0
2023-12-14,13405.0,13480.0,13370.0,13470.0,135000,150786,13430.0
2023-12-15,13495.0,13580.0,13460.0,13520.0,154386,150053,13515.0
2023-12-18,13490.0,13630.0,13385.0,13605.0,185614,152777,13505.0
2023-12-19,13595.0,13645.0,13515.0,13580.0,140303,153154,13560.0
2023-12-20,13595.0,13770.0,13390.0,13715.0,272787,153338,13585.0
2023-12-21,13745.0,13825.0,13705.0,13795.0,173833,152426,13765.0
2023-12-22,13775.0,13940.0,13745.0,13910.0,199032,152887,13850.0
2023-12-25,13920.0,13980.0,13830.0,13905.0,183891,155120,13900.0
2023-12-26,13900.0,13935.0,13815.0,13840.0,157602,152625,13875.0
2023-12-27,13800.0,13955.0,13760.0,13935.0,212119,156477,13865.0
2023-12-28,13900.0,13980.0,13835.0,13930.0,160722,156977,13905.0
2023-12-29,13890.0,14195.0,13890.0,14170.0,304244,160194,14100.0
2024-01-02,14350.0,14540.0,14195.0,14205.0,234426,172170,14340.0
2024-01-03,14150.0,14205.0,14045.0,14115.0,191738,169668,14140.0
2024-01-04,14100.0,14105.0,13820.0,13875.0,221864,166432,13970.0
2024-01-05,13875.0,13925.0,13810.0,13850.0,168924,167462,13875.0
2024-01-08,13845.0,13850.0,13440.0,13470.0,270373,173107,13595.0
