date,open,high,low,close,volume,hold,settle
2023-06-19,534.3,535.3,525.0,529.9,142107,27689,531.1
2023-06-20,535.0,538.2,531.1,534.8,96381,27606,534.7
2023-06-21,532.7,554.8,527.8,551.2,203331,29787,539.6
2023-06-26,543.1,546.1,535.7,543.3,46544,28596,540.0
2023-06-27,540.0,546.3,536.6,543.2,122037,26605,542.0
2023-06-28,536.0,541.5,530.3,534.0,141623,27332,536.0
2023-06-29,531.9,545.1,530.0,542.6,143196,25971,538.5
2023-06-30,542.8,549.4,540.2,546.1,127943,26528,544.8
2023-07-03,549.6,555.5,547.4,550.6,107108,26655,551.3
2023-07-04,556.1,557.0,546.5,549.0,128267,26938,551.9
2023-07-05,553.7,556.6,551.1,553.0,84514,26538,553.7
2023-07-06,555.5,561.4,553.9,557.9,119658,26919,558.2
2023-07-07,555.8,563.8,549.7,560.8,144662,27276,554.9
2023-07-10,560.0,570.6,555.7,567.2,117129,28435,563.5
2023-07-11,566.0,571.9,565.1,567.6,102699,27832,568.9
2023-07-12,568.6,578.3,568.0,574.3,101429,26967,573.3
2023-07-13,577.4,580.9,575.5,580.0,98419,24586,578.3
2023-07-14,578.4,591.5,576.3,586.5,97919,21562,583.4
2023-07-17,587.5,588.2,574.8,576.7,75383,19060,581.3
2023-07-18,573.2,577.9,570.9,573.6,136176,40003,574.7
2023-07-19,573.7,584.7,573.4,584.0,150647,42705,580.4
2023-07-20,587.3,594.4,582.0,583.7,170738,40655,588.6
2023-07-21,584.7,589.6,576.8,588.8,174451,41693,584.0
2023-07-24,591.0,592.5,585.1,589.6,147832,40195,588.7
2023-07-25,595.5,603.1,592.1,601.5,154301,43463,598.7
2023-07-26,598.2,606.2,596.0,602.7,136968,41890,601.6
2023-07-27,599.9,606.7,599.1,603.2,156766,40245,603.2
2023-07-28,606.3,610.2,602.6,607.4,178659,40904,606.7
2023-07-31,608.4,612.1,602.4,610.8,174456,40135,607.2
2023-08-01,614.6,621.3,613.8,619.5,136304,41694,617.4
2023-08-02,618.0,627.6,615.6,625.0,149916,40395,620.3
2023-08-03,623.9,624.1,605.4,605.5,195458,33616,612.6
2023-08-04,612.0,624.2,610.5,622.1,159984,35232,616.9
2023-08-07,623.2,632.2,620.1,628.7,146552,37540,626.2
2023-08-08,625.8,628.5,621.1,621.4,121615,34352,625.1
2023-08-09,614.6,633.8,614.6,631.3,155055,36001,624.2
2023-08-10,636.6,642.8,633.2,640.2,151652,37525,637.7
2023-08-11,637.8,642.6,635.0,642.2,140154,35661,639.0
2023-08-14,647.4,673.6,644.0,656.7,211880,30838,657.6
2023-08-15,655.9,665.7,651.9,662.9,127967,27618,658.5
2023-08-16,656.0,661.2,652.4,654.2,103464,23623,656.1
2023-08-17,658.0,661.0,649.2,654.4,81869,19426,656.4
2023-08-18,639.8,643.7,636.3,638.7,117187,35553,640.3
2023-08-21,634.0,655.8,630.5,652.9,214602,39893,641.1
2023-08-22,654.1,654.6,639.5,640.1,140193,38675,646.1
2023-08-23,640.0,643.2,632.6,633.1,153434,38061,637.2
2023-08-24,627.0,630.6,618.4,623.1,184375,35649,625.1
2023-08-25,623.1,636.1,619.4,632.1,165408,33929,627.2
2023-08-28,636.0,640.7,625.8,637.1,189455,34280,0.0
2023-08-29,636.0,642.5,632.3,633.8,137758,32007,637.5
2023-08-30,637.9,645.4,630.0,644.5,147918,32571,637.0
2023-08-31,642.9,647.0,640.6,643.4,128111,30724,643.6
2023-09-01,649.6,655.5,644.1,654.1,133192,32944,648.7
2023-09-04,659.6,671.9,657.6,664.8,150426,32778,665.4
2023-09-05,664.7,672.4,662.4,670.2,86878,31766,668.1
2023-09-06,669.3,696.7,668.6,686.6,164838,32169,688.4
2023-09-07,686.0,698.8,682.4,691.7,142437,32026,689.9
2023-09-08,691.6,700.8,687.2,690.6,148294,31936,694.7
2023-09-11,697.3,703.2,685.4,686.4,168919,30600,696.1
2023-09-12,688.0,699.3,687.5,696.4,123058,28776,695.6
2023-09-13,702.2,712.5,702.2,707.9,97029,26985,707.8
2023-09-14,708.5,730.0,704.0,728.3,162649,22803,717.2
2023-09-15,735.0,758.0,730.4,735.8,112222,17272,736.5
2023-09-18,733.0,750.2,721.2,743.7,51228,9200,730.9
2023-09-19,705.8,708.5,693.3,699.6,138277,37851,700.6
2023-09-20,704.5,705.9,688.0,690.7,160745,37562,698.7
2023-09-21,691.7,699.5,683.9,685.2,154675,36838,693.2
2023-09-22,692.3,700.5,692.1,695.7,164831,35444,696.5
2023-09-25,700.3,701.5,684.4,692.2,193801,34468,691.7
2023-09-26,687.8,690.8,681.4,682.3,156135,31371,685.8
2023-09-27,684.6,708.7,683.1,701.3,147352,29634,694.5
2023-09-28,709.3,723.9,706.1,717.0,142313,28001,713.2
2023-10-09,668.5,689.0,653.0,656.8,71287,25471,666.6
2023-10-10,658.1,665.5,654.4,657.2,127860,23246,660.5
2023-10-11,659.9,663.1,651.5,662.4,128902,22861,656.4
2023-10-12,653.7,660.7,643.9,648.4,152394,20506,651.5
2023-10-13,658.0,660.7,645.1,656.7,146780,17891,653.1
2023-10-16,677.3,689.3,666.8,678.3,130556,15065,675.0
2023-10-17,682.8,682.8,668.4,674.2,98748,13767,675.3
2023-10-18,674.5,694.0,670.5,688.1,93053,10610,679.2
2023-10-19,681.2,688.3,678.8,683.4,147328,28738,683.4
2023-10-20,681.0,700.7,677.0,695.8,178372,32243,689.3
2023-10-23,698.6,699.4,682.6,685.6,172123,30869,692.2
2023-10-24,687.7,689.3,670.6,677.2,192011,29108,679.9
2023-10-25,676.4,676.5,660.0,661.4,187600,31337,666.0
2023-10-26,665.2,678.0,656.5,668.4,234521,29092,667.1
2023-10-27,659.8,670.8,656.6,670.0,197140,27699,663.7
2023-10-30,668.8,675.7,661.0,667.2,229563,25670,666.3
2023-10-31,665.5,666.0,649.1,653.8,200197,29626,656.4
2023-11-01,652.7,659.1,644.3,646.5,211653,29368,651.9
2023-11-02,655.5,657.6,641.5,649.0,195583,29159,651.1
2023-11-03,647.8,658.6,641.6,656.8,202328,27035,651.3
2023-11-06,660.1,661.0,641.0,645.8,233980,28086,649.8
2023-11-07,647.0,650.0,621.9,623.0,229693,29989,639.0
2023-11-08,618.8,621.2,601.9,607.9,204687,29789,612.3
2023-11-09,600.0,605.2,588.6,594.6,238224,30039,598.0
2023-11-10,596.4,604.6,592.1,596.6,181991,28778,597.5
2023-11-13,599.9,607.4,590.5,594.7,168088,27366,600.2
2023-11-14,599.0,607.8,596.8,604.7,121809,23792,601.8
2023-11-15,601.9,611.1,597.8,603.1,131730,19753,604.6
2023-11-16,600.0,601.0,582.7,588.6,136726,18146,592.2
2023-11-17,586.1,590.0,556.4,562.2,146098,14038,572.3
2023-11-20,570.6,587.6,569.0,586.7,213948,41801,578.4
2023-11-21,591.5,596.4,586.3,587.5,175958,41189,592.3
2023-11-22,588.4,595.8,584.8,591.2,212846,40430,589.7
2023-11-23,580.0,584.7,563.2,579.0,267460,40280,571.9
2023-11-24,579.0,584.7,572.2,583.6,185597,40426,578.3
2023-11-27,583.4,587.6,567.6,571.5,212988,40666,579.5
2023-11-28,572.5,579.2,566.6,571.2,211225,39095,572.7
2023-11-29,574.6,584.4,570.1,578.6,197861,35986,577.4
2023-11-30,588.6,590.8,574.1,589.4,247629,33714,583.0
2023-12-01,592.0,598.8,566.1,569.7,320353,36235,583.9
2023-12-04,571.9,579.4,549.2,553.2,252903,37727,568.7
2023-12-05,552.7,565.1,550.3,555.1,232415,34477,557.3
2023-12-06,554.0,562.3,546.6,554.1,241029,33694,555.1
2023-12-07,549.3,549.4,529.6,535.4,206523,36192,539.2
2023-12-08,536.6,558.4,536.3,548.5,255490,29631,546.0
2023-12-11,549.7,556.5,546.0,556.1,173958,28503,550.8
2023-12-12,551.8,555.6,543.5,554.6,162462,27136,549.9
2023-12-13,548.0,548.1,519.7,521.1,176577,27720,533.5
2023-12-14,527.0,534.3,524.5,529.6,130888,20876,529.0
2023-12-15,537.0,547.4,536.3,543.9,74458,17294,541.8
2023-12-18,549.5,552.6,537.5,552.1,208988,35175,545.4
2023-12-19,552.8,564.6,551.7,555.8,192060,35086,558.8
2023-12-20,553.0,564.1,552.9,563.0,172180,36796,559.8
2023-12-21,568.0,571.7,559.7,565.0,212287,36855,567.1
2023-12-22,559.0,569.4,551.0,566.6,231374,35078,558.1
2023-12-25,566.5,569.7,540.8,553.7,240761,35005,559.7
2023-12-26,553.8,562.7,552.5,558.9,112420,33828,559.4
2023-12-27,562.5,576.6,562.2,574.8,185793,33874,572.0
2023-12-28,572.0,573.5,561.9,564.3,200599,31079,568.1
2023-12-29,558.7,558.8,542.0,542.7,213612,31928,552.5
2024-01-02,544.0,556.5,544.0,555.7,52295,30105,553.3
2024-01-03,557.0,562.0,535.6,538.6,201184,32725,548.5
2024-01-04,543.8,561.4,540.3,560.1,189938,32004,552.3
2024-01-05,560.7,561.7,543.4,552.7,216914,30881,553.1
2024-01-08,554.4,562.7,549.2,550.2,204984,31009,557.6
2024-01-09,543.4,544.1,533.5,540.0,193381,28372,538.6
2024-01-10,552.9,558.3,546.4,558.1,195162,27341,552.2
2024-01-11,561.6,566.0,553.0,556.7,181810,25212,560.2
2024-01-12,564.2,576.5,558.0,570.0,186614,25343,565.2
2024-01-15,577.9,579.1,553.9,555.6,191012,25575,565.1
2024-01-16,546.0,556.9,544.6,556.1,120611,20885,552.4
2024-01-17,560.0,563.6,549.8,552.5,128959,18966,555.7
2024-01-18,545.8,556.6,543.9,555.8,101839,15121,549.0
2024-01-19,558.1,566.8,551.6,566.3,199105,30001,560.2
2024-01-22,562.8,569.0,557.2,559.9,224449,28139,563.3
2024-01-23,562.2,573.3,562.0,570.9,172861,31219,567.9
2024-01-24,567.5,572.0,562.1,569.6,218987,28883,567.0
2024-01-25,567.0,576.8,566.4,572.4,225172,30914,571.8
2024-01-26,574.4,591.1,573.3,588.4,206661,34162,582.8
2024-01-29,587.5,599.5,583.6,596.5,232052,30617,591.1
2024-01-30,594.5,594.8,585.3,586.1,210821,30439,589.0
2024-01-31,580.5,588.8,575.5,585.3,214968,26795,583.1
2024-02-01,581.0,585.3,574.8,575.7,265894,25672,579.4
2024-02-02,578.1,582.2,560.7,562.7,288718,23911,574.1
2024-02-05,560.0,561.2,552.7,556.1,229565,23153,556.3
2024-02-06,554.4,560.3,551.4,559.5,175535,19398,555.5
2024-02-07,562.3,565.2,557.2,561.8,141099,14791,561.9
2024-02-08,564.9,572.8,563.4,572.4,108100,10661,566.2
2024-02-19,589.8,597.0,589.8,595.0,16436,4796,594.5
2024-02-20,604.0,606.2,601.9,603.8,92005,27419,604.1
2024-02-21,598.7,603.7,594.3,595.6,174911,27261,598.5
2024-02-22,594.3,601.9,593.7,601.1,176267,30434,598.0
2024-02-23,598.7,607.6,596.7,603.7,160646,30495,602.3
2024-02-26,598.8,602.9,591.3,593.4,178995,27712,597.5
2024-02-27,592.4,602.6,592.1,602.1,120455,30576,598.0
2024-02-28,600.0,609.8,599.6,606.8,116403,35033,605.5
2024-02-29,605.0,614.1,604.5,606.0,160766,31297,609.1
2024-03-01,607.0,610.8,603.4,606.1,170151,30657,606.6
2024-03-04,614.6,626.2,611.9,619.0,173404,34546,617.3
2024-03-05,618.1,621.6,609.8,610.2,139699,31453,616.4
2024-03-06,608.0,613.6,603.5,609.2,201620,29596,609.0
2024-03-07,611.2,619.2,611.0,613.3,146004,29971,614.4
2024-03-08,611.0,618.0,608.2,617.8,162906,32642,611.9
2024-03-11,610.6,615.4,604.0,608.4,187378,28320,611.1
2024-03-12,609.3,622.7,607.4,621.6,156136,30897,614.0
2024-03-13,618.6,623.4,618.0,622.2,131399,28242,620.7
2024-03-14,631.6,634.3,625.6,631.9,106412,27821,629.6
2024-03-15,636.8,655.7,634.8,644.6,133847,25087,645.8
2024-03-18,642.8,644.2,630.6,631.7,100305,20255,636.8
2024-03-19,630.3,637.0,626.1,634.5,40683,12147,631.2
2024-03-20,634.1,641.3,633.5,637.2,111482,39083,638.0
2024-03-21,631.8,635.5,628.5,633.3,143521,38085,631.7
2024-03-22,631.0,632.2,623.7,627.4,123711,35130,627.6
2024-03-25,632.0,635.4,627.7,629.0,131447,34103,631.1
2024-03-26,628.5,639.9,628.4,634.3,124269,34827,635.6
2024-03-27,636.3,637.6,626.1,626.9,127408,30181,632.5
2024-03-28,628.0,637.5,627.6,634.8,119807,29966,632.4
2024-03-29,640.2,649.2,639.4,645.5,104991,29878,642.6
2024-04-01,645.3,647.5,641.8,645.9,51715,27735,644.8
2024-04-02,644.9,651.7,640.6,650.3,118681,28958,646.0
2024-04-03,655.0,660.9,650.6,660.9,121401,27741,655.2
2024-04-08,660.0,666.4,650.3,660.7,56993,26796,658.5
2024-04-09,664.0,671.9,659.4,667.3,138969,27090,665.6
2024-04-10,665.2,668.7,658.1,662.5,103087,25265,663.2
2024-04-11,664.7,673.0,658.4,668.5,128693,24513,664.7
2024-04-12,664.0,673.5,662.8,669.7,97660,22596,667.0
2024-04-15,675.6,682.8,660.8,663.5,99235,19513,672.4
2024-04-16,661.6,671.0,656.5,667.4,64860,15781,662.3
2024-04-17,661.3,667.1,659.6,661.6,87930,35210,663.3
2024-04-18,657.6,660.2,641.8,642.4,143139,34908,650.6
2024-04-19,643.5,670.5,638.5,651.7,213683,35659,651.0
2024-04-22,641.6,648.4,632.5,633.2,156936,34169,641.3
2024-04-23,634.7,642.9,631.5,637.8,116141,32679,637.0
2024-04-24,632.0,651.9,630.1,651.2,119665,32048,641.7
2024-04-25,650.1,653.7,647.0,650.3,114863,30679,649.3
2024-04-26,648.2,655.4,642.1,653.3,119604,28984,647.5
2024-04-29,655.9,658.0,646.4,647.9,99542,25310,652.5
2024-04-30,649.8,652.3,642.6,645.8,80950,20916,646.9
2024-05-06,615.9,619.9,611.0,619.4,39380,22088,616.1
2024-05-07,618.3,620.8,612.7,617.8,84866,21728,617.4
2024-05-08,613.3,620.9,610.5,611.3,89338,23057,615.1
2024-05-09,611.1,618.5,609.5,617.0,77995,22182,614.8
2024-05-10,618.8,624.8,615.6,624.6,77649,21020,619.3
2024-05-13,623.3,623.7,608.7,615.0,77332,21534,616.7
2024-05-14,618.5,620.9,615.8,618.0,55311,20154,618.4
2024-05-15,613.9,617.4,609.4,614.4,82542,17829,612.8
2024-05-16,610.0,615.7,600.8,614.7,77713,15425,607.8
2024-05-17,616.0,620.5,613.0,620.5,49670,12056,616.5
