date,open,high,low,close,volume,hold,settle
2023-06-19,6960.0,7000.0,6911.0,6918.0,527959,527907,6955.0
2023-06-20,6918.0,6982.0,6916.0,6963.0,347394,522317,6958.0
2023-06-21,6963.0,6971.0,6903.0,6957.0,441429,503651,6937.0
2023-06-26,6845.0,6860.0,6782.0,6841.0,477239,486164,6815.0
2023-06-27,6845.0,6887.0,6688.0,6692.0,671477,468259,6752.0
2023-06-28,6648.0,6695.0,6630.0,6657.0,577487,478567,6660.0
2023-06-29,6636.0,6684.0,6618.0,6661.0,455718,468728,6646.0
2023-06-30,6649.0,6788.0,6635.0,6730.0,692831,440520,6703.0
2023-07-03,6731.0,6835.0,6725.0,6832.0,449818,447741,6783.0
2023-07-04,6835.0,6847.0,6784.0,6784.0,337757,442612,6814.0
2023-07-05,6791.0,6805.0,6740.0,6780.0,367750,440987,6769.0
2023-07-06,6800.0,6825.0,6769.0,6770.0,298993,441485,6800.0
2023-07-07,6758.0,6788.0,6731.0,6733.0,322603,437672,6759.0
2023-07-10,6759.0,6806.0,6737.0,6738.0,338636,433627,6769.0
2023-07-11,6723.0,6772.0,6713.0,6768.0,310722,426636,6739.0
2023-07-12,6765.0,6814.0,6756.0,6796.0,302853,422719,6785.0
2023-07-13,6790.0,6899.0,6782.0,6886.0,432756,427710,6847.0
2023-07-14,6885.0,6927.0,6863.0,6915.0,315613,420460,6896.0
2023-07-17,6933.0,6962.0,6878.0,6882.0,310032,418058,6921.0
2023-07-18,6860.0,6886.0,6827.0,6875.0,254482,399074,6855.0
2023-07-19,6875.0,6895.0,6834.0,6877.0,228871,392947,6865.0
2023-07-20,6892.0,6914.0,6853.0,6856.0,242655,388442,6881.0
2023-07-21,6871.0,6903.0,6782.0,6784.0,334635,373138,6840.0
2023-07-24,6784.0,6899.0,6783.0,6826.0,388923,360750,6845.0
2023-07-25,6837.0,6856.0,6811.0,6826.0,281793,349880,6829.0
2023-07-26,6815.0,6885.0,6786.0,6872.0,327543,342268,6843.0
2023-07-27,6868.0,6872.0,6825.0,6827.0,238051,329246,6847.0
2023-07-28,6814.0,6841.0,6786.0,6807.0,242759,312342,6811.0
2023-07-31,6780.0,6814.0,6690.0,6714.0,355283,289347,6746.0
2023-08-01,6730.0,6777.0,6711.0,6739.0,191884,266442,6743.0
2023-08-02,6632.0,6675.0,6615.0,6665.0,310760,410780,6652.0
2023-08-03,6665.0,6688.0,6635.0,6654.0,369989,428867,6663.0
2023-08-04,6638.0,6695.0,6606.0,6682.0,441257,447623,6656.0
2023-08-07,6660.0,6696.0,6630.0,6662.0,385229,445813,6662.0
2023-08-08,6671.0,6768.0,6670.0,6731.0,599061,501472,6742.0
2023-08-09,6716.0,6885.0,6715.0,6877.0,742484,613287,6800.0
2023-08-10,6878.0,6902.0,6863.0,6889.0,474598,642367,6884.0
2023-08-11,6900.0,6935.0,6856.0,6910.0,648945,660903,6898.0
2023-08-14,6917.0,6923.0,6865.0,6881.0,479191,642640,6892.0
2023-08-15,6877.0,6885.0,6836.0,6844.0,465477,616966,6861.0
2023-08-16,6844.0,6866.0,6824.0,6844.0,335033,607126,6846.0
2023-08-17,6852.0,6917.0,6849.0,6880.0,519340,617263,6884.0
2023-08-18,6900.0,6910.0,6870.0,6884.0,343685,622850,6892.0
2023-08-21,6878.0,6996.0,6862.0,6975.0,548345,647052,6933.0
2023-08-22,6975.0,7013.0,6789.0,6823.0,805365,595217,6914.0
2023-08-23,6839.0,6866.0,6807.0,6819.0,483426,589935,6832.0
2023-08-24,6885.0,6961.0,6853.0,6866.0,836585,590853,6923.0
2023-08-25,6894.0,6920.0,6842.0,6890.0,422528,590438,6883.0
2023-08-28,6899.0,6968.0,6874.0,6908.0,519241,595824,6914.0
2023-08-29,6936.0,6966.0,6901.0,6913.0,522029,612405,6936.0
2023-08-30,6899.0,6970.0,6883.0,6959.0,519125,626274,6927.0
2023-08-31,6973.0,6981.0,6896.0,6951.0,570035,612585,6941.0
2023-09-01,6960.0,7040.0,6942.0,7025.0,637653,662731,6990.0
2023-09-04,7040.0,7061.0,7005.0,7038.0,518586,673398,7030.0
2023-09-05,7049.0,7075.0,7022.0,7058.0,442031,690344,7054.0
2023-09-06,7079.0,7131.0,7058.0,7117.0,686419,728810,7095.0
2023-09-07,7110.0,7113.0,7032.0,7062.0,558565,690074,7074.0
2023-09-08,7075.0,7119.0,7038.0,7085.0,525593,696446,7083.0
2023-09-11,7079.0,7114.0,6973.0,6991.0,742645,675753,7046.0
2023-09-12,6949.0,6981.0,6908.0,6956.0,610746,657050,6951.0
2023-09-13,6965.0,6995.0,6885.0,6903.0,638453,638343,6944.0
2023-09-14,6900.0,6928.0,6866.0,6872.0,461617,619784,6893.0
2023-09-15,6887.0,6934.0,6882.0,6928.0,492512,615985,6904.0
2023-09-18,6950.0,6960.0,6860.0,6886.0,449690,601884,6899.0
2023-09-19,6901.0,6916.0,6871.0,6896.0,391436,598502,6896.0
2023-09-20,6893.0,6944.0,6887.0,6928.0,368172,597995,6917.0
2023-09-21,6910.0,6924.0,6804.0,6821.0,589670,592670,6866.0
2023-09-22,6820.0,6906.0,6801.0,6888.0,489670,588565,6850.0
2023-09-25,6908.0,6957.0,6887.0,6901.0,432204,574591,6921.0
2023-09-26,6881.0,6915.0,6854.0,6909.0,429350,561789,6887.0
2023-09-27,6895.0,6950.0,6879.0,6930.0,385381,542869,6921.0
2023-09-28,6938.0,6948.0,6880.0,6947.0,347602,523025,6917.0
2023-10-09,6961.0,7022.0,6870.0,6886.0,503937,533461,6946.0
2023-10-10,6887.0,6909.0,6834.0,6838.0,537202,556925,6869.0
2023-10-11,6838.0,6868.0,6764.0,6777.0,656420,576566,6823.0
2023-10-12,6775.0,6819.0,6740.0,6816.0,601836,584305,6773.0
2023-10-13,6821.0,6821.0,6756.0,6784.0,460211,584148,6778.0
2023-10-16,6816.0,6926.0,6790.0,6818.0,523407,568543,6832.0
2023-10-17,6816.0,6823.0,6772.0,6790.0,424893,569210,6799.0
2023-10-18,6820.0,6839.0,6801.0,6816.0,357716,570651,6820.0
2023-10-19,6825.0,6894.0,6760.0,6878.0,748344,578081,6831.0
2023-10-20,6853.0,6887.0,6819.0,6825.0,453330,560622,6852.0
2023-10-23,6813.0,6839.0,6717.0,6720.0,648895,584002,6782.0
2023-10-24,6742.0,6786.0,6724.0,6778.0,487433,587482,6752.0
2023-10-25,6781.0,6846.0,6767.0,6819.0,512830,584186,6810.0
2023-10-26,6828.0,6840.0,6781.0,6813.0,402901,580635,6804.0
2023-10-27,6790.0,6806.0,6749.0,6785.0,510974,572416,6778.0
2023-10-30,6791.0,6862.0,6774.0,6861.0,473646,572368,6817.0
