date,open,high,low,close,volume,hold,settle
2023-06-19,5618.0,5622.0,5486.0,5498.0,1697789,1593832,5550.0
2023-06-20,5516.0,5572.0,5500.0,5556.0,1405213,1580145,5544.0
2023-06-21,5550.0,5632.0,5502.0,5576.0,1527455,1561983,5568.0
2023-06-26,5544.0,5548.0,5452.0,5490.0,1070012,1556102,5490.0
2023-06-27,5476.0,5552.0,5432.0,5522.0,1556386,1553454,5492.0
2023-06-28,5490.0,5514.0,5460.0,5482.0,1245245,1559636,5486.0
2023-06-29,5464.0,5566.0,5464.0,5492.0,1641301,1603966,5514.0
2023-06-30,5490.0,5596.0,5480.0,5562.0,1524557,1619641,5542.0
2023-07-03,5578.0,5640.0,5574.0,5606.0,1388407,1687568,5608.0
2023-07-04,5630.0,5648.0,5566.0,5590.0,1373483,1617662,5604.0
2023-07-05,5606.0,5630.0,5574.0,5584.0,1262560,1632141,5600.0
2023-07-06,5590.0,5634.0,5550.0,5618.0,1700672,1639860,5600.0
2023-07-07,5604.0,5752.0,5582.0,5744.0,2337610,1834612,5680.0
2023-07-10,5748.0,5812.0,5726.0,5758.0,1739621,1820092,5774.0
2023-07-11,5752.0,5878.0,5752.0,5848.0,1837765,1855280,5824.0
2023-07-12,5854.0,5934.0,5848.0,5894.0,1747231,1913939,5902.0
2023-07-13,5920.0,5948.0,5868.0,5888.0,1513729,1885359,5910.0
2023-07-14,5886.0,6016.0,5882.0,5956.0,1872638,1869244,5944.0
2023-07-17,5956.0,5966.0,5784.0,5804.0,1693893,1726578,5864.0
2023-07-18,5804.0,5852.0,5792.0,5824.0,1263615,1713620,5828.0
2023-07-19,5824.0,5868.0,5798.0,5848.0,1427541,1703623,5836.0
2023-07-20,5874.0,5914.0,5840.0,5884.0,1298337,1715410,5878.0
2023-07-21,5890.0,5992.0,5882.0,5906.0,1811853,1765084,5926.0
2023-07-24,5920.0,5926.0,5830.0,5830.0,1555241,1676888,5872.0
2023-07-25,5862.0,5942.0,5836.0,5888.0,1501337,1646046,5880.0
2023-07-26,5880.0,5964.0,5872.0,5898.0,1528533,1611785,5916.0
2023-07-27,5890.0,5960.0,5866.0,5912.0,1468864,1553459,5920.0
2023-07-28,5924.0,6108.0,5900.0,6098.0,2582270,1637245,5984.0
2023-07-31,6100.0,6148.0,5972.0,6016.0,2249155,1425941,6072.0
2023-08-01,6040.0,6060.0,5996.0,6026.0,1261589,1352195,6030.0
2023-08-02,6008.0,6022.0,5950.0,5966.0,1439837,1257219,5986.0
2023-08-03,5966.0,5976.0,5788.0,5804.0,1801887,1087394,5874.0
2023-08-04,5838.0,5874.0,5800.0,5832.0,1201431,980330,5836.0
2023-08-07,5836.0,5852.0,5754.0,5786.0,1129125,906522,5806.0
2023-08-08,5784.0,5824.0,5732.0,5802.0,1096594,858941,5778.0
2023-08-09,5778.0,5854.0,5768.0,5832.0,1017169,771770,5812.0
2023-08-10,5856.0,5880.0,5804.0,5832.0,761059,653949,5844.0
2023-08-11,5852.0,5942.0,5852.0,5900.0,1007673,610264,5906.0
2023-08-14,5910.0,5920.0,5794.0,5814.0,713807,489606,5852.0
2023-08-15,5754.0,5798.0,5746.0,5778.0,969757,1249249,5774.0
2023-08-16,5758.0,5796.0,5708.0,5728.0,1174398,1300180,5756.0
2023-08-17,5736.0,5746.0,5656.0,5724.0,1099528,1328860,5710.0
2023-08-18,5740.0,5862.0,5736.0,5846.0,1271137,1352914,5806.0
2023-08-21,5828.0,6010.0,5828.0,5986.0,1423467,1445526,5926.0
2023-08-22,6000.0,6038.0,5962.0,6006.0,1151434,1528198,5992.0
2023-08-23,6024.0,6094.0,5982.0,5982.0,1351996,1561263,6048.0
2023-08-24,5964.0,6028.0,5954.0,5980.0,1275655,1601168,5994.0
2023-08-25,5978.0,6078.0,5968.0,6064.0,1282005,1632881,6022.0
2023-08-28,6086.0,6090.0,5938.0,6008.0,1560053,1601044,6004.0
2023-08-29,6000.0,6040.0,5956.0,5962.0,1225177,1612943,6002.0
2023-08-30,5990.0,6146.0,5970.0,6140.0,1788352,1747031,6068.0
2023-08-31,6148.0,6156.0,6090.0,6114.0,1062553,1731176,6124.0
2023-09-01,6140.0,6182.0,6110.0,6164.0,1287313,1732795,6148.0
2023-09-04,6196.0,6196.0,6044.0,6072.0,1905116,1656914,6118.0
2023-09-05,6070.0,6096.0,6032.0,6056.0,1197838,1631214,6068.0
2023-09-06,6052.0,6206.0,6042.0,6150.0,1730066,1662775,6158.0
2023-09-07,6156.0,6194.0,6050.0,6082.0,1572145,1610590,6120.0
2023-09-08,6082.0,6088.0,5980.0,6024.0,1283770,1545119,6032.0
