date,open,high,low,close,volume,hold,settle
2023-06-19,7704.0,7804.0,7660.0,7722.0,1006527,567627,7732.0
2023-06-20,7714.0,7808.0,7708.0,7770.0,735759,556349,7762.0
2023-06-21,7716.0,7772.0,7498.0,7630.0,1081043,537043,7618.0
2023-06-26,7650.0,7724.0,7556.0,7658.0,676924,538192,7644.0
2023-06-27,7676.0,7740.0,7630.0,7652.0,795729,543315,7690.0
2023-06-28,7574.0,7784.0,7530.0,7754.0,989287,552545,7654.0
2023-06-29,7680.0,7700.0,7588.0,7682.0,857276,544502,7650.0
2023-06-30,7650.0,7804.0,7640.0,7742.0,792558,554644,7734.0
2023-07-03,7734.0,8198.0,7730.0,8198.0,1229940,555114,8032.0
2023-07-04,8204.0,8226.0,8044.0,8094.0,1137069,558383,8110.0
2023-07-05,8062.0,8164.0,8016.0,8116.0,887549,557626,8100.0
2023-07-06,8102.0,8148.0,8038.0,8106.0,886126,559317,8098.0
2023-07-07,8096.0,8120.0,7968.0,8014.0,1014998,542736,8036.0
2023-07-10,8024.0,8078.0,7938.0,8028.0,1003661,537884,8000.0
2023-07-11,8066.0,8210.0,8008.0,8028.0,1059271,542890,8100.0
2023-07-12,8046.0,8144.0,7998.0,8068.0,880885,529936,8072.0
2023-07-13,8080.0,8150.0,7898.0,7958.0,989756,527498,8000.0
2023-07-14,8028.0,8212.0,7990.0,8060.0,1226699,504906,8096.0
2023-07-17,8102.0,8126.0,7954.0,8012.0,1141361,481729,8052.0
2023-07-18,8028.0,8118.0,7992.0,8054.0,1022001,481920,8052.0
2023-07-19,8090.0,8176.0,8052.0,8174.0,923464,481618,8116.0
2023-07-20,8230.0,8310.0,8188.0,8252.0,919784,474748,8250.0
2023-07-21,8264.0,8288.0,8122.0,8128.0,873580,466972,8214.0
2023-07-24,8096.0,8106.0,7968.0,8030.0,814630,451950,8034.0
2023-07-25,8130.0,8198.0,8062.0,8096.0,787195,426205,8130.0
2023-07-26,8064.0,8240.0,8052.0,8232.0,713013,428948,8156.0
2023-07-27,8182.0,8318.0,8180.0,8230.0,829395,416751,8242.0
2023-07-28,8250.0,8278.0,8126.0,8198.0,780365,405778,8198.0
2023-07-31,8198.0,8226.0,7982.0,8024.0,896489,403322,8084.0
2023-08-01,8018.0,8130.0,7998.0,8126.0,596174,386721,8042.0
2023-08-02,8106.0,8230.0,8072.0,8216.0,658606,358424,8154.0
2023-08-03,8182.0,8232.0,8024.0,8032.0,789567,330501,8150.0
2023-08-04,8060.0,8220.0,8030.0,8194.0,662209,306515,8142.0
2023-08-07,8194.0,8272.0,8076.0,8088.0,791866,284492,8172.0
2023-08-08,8062.0,8106.0,7970.0,7986.0,569782,275400,8034.0
2023-08-09,7944.0,8182.0,7872.0,8170.0,726869,256697,8012.0
2023-08-10,8174.0,8222.0,8122.0,8168.0,670230,230557,8176.0
2023-08-11,8132.0,8226.0,8108.0,8146.0,553040,202406,8152.0
